Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189)
7.274637693400741e-10,0.11224539410749836,0.9,0.0,0.0,0.0,0.0,0.0999998044542891,5.020986280122381e-08,4.796272511216727e-08,3.451460350327802e-08,3.4689266179800616e-08,2.8695276985070514e-08,3.0012925933315526e-08,2.991012840858365e-08,2.990380218630453e-08,2.672342355974546e-08,2.672342355974546e-08,2.413379551871105e-08,2.4257943453095757e-08,2.1594435906012256e-10,1.4100855842497996e-09,7.30562720417572e-10,1.308117353756094e-10,8.133479597854332e-10,3.2850801071899936e-10,5.982251540380832e-10,3.685927668054696e-10,4.689619592565716e-11,5.400291748282543e-12,1.166413143775786e-10,1.5567006410137645e-15,3.9413211661461605e-13,1.0387112054744358e-15,7.728521263752142e-16,1.0375752981745996e-15
7.556046359290208e-10,0.11224539496936188,0.9,0.0,0.0,0.0,0.0,0.0999997968898708,5.215731072633702e-08,4.979204380271845e-08,3.5846188505482485e-08,3.603455658433009e-08,2.9780884736728998e-08,3.117560491708941e-08,3.1064720526180405e-08,3.1057919725150395e-08,2.7757178868495838e-08,2.7757178868495838e-08,2.5064885731232115e-08,2.51988165210602e-08,2.241807296540796e-10,1.4712550482994002e-09,7.632137870285368e-10,1.3645614492015335e-10,8.803291018071749e-10,3.57278576396564e-10,6.452566436569979e-10,3.9747327764183e-10,5.0596408055789273e-11,5.612860937604704e-12,1.2601423047888136e-10,1.6170797469968916e-15,4.369827101004165e-13,1.0789940665950792e-15,8.028284505651743e-16,1.0777707142308121e-15
7.837455025179676e-10,0.11224539583172208,0.9,0.0,0.0,0.0,0.0,0.0999997893254505,5.4105141877797504e-08,5.1619968334508833e-08,3.717750870138333e-08,3.7380095911576965e-08,3.086507065252661e-08,3.233840789086908e-08,3.221912905101784e-08,3.221183887411891e-08,2.8790934099048464e-08,2.8790934099048464e-08,2.5995790802204303e-08,2.613987480057906e-08,2.3241082335460803e-10,1.5323807580757177e-09,7.958303006431019e-10,1.4209339884869533e-10,9.499643888886973e-10,3.872635748553536e-10,6.940597509402846e-10,4.274342965644821e-10,5.4437247512263824e-11,5.825396362344721e-12,1.3574893831790075e-10,1.6774707247374792e-15,4.824208490391418e-13,1.1192843746884833e-15,8.328106707810691e-16,1.1179704106141174e-15
8.118863691069143e-10,0.11224539669457861,0.9,0.0,0.0,0.0,0.0,0.09999978176102813,5.605335618970308e-08,5.344650055078176e-08,3.850856414362102e-08,3.872588383561197e-08,3.1947838444132446e-08,3.350133478702186e-08,3.337335379316768e-08,3.336555966231139e-08,2.982468925140333e-08,2.982468925140333e-08,2.692651076842766e-08,2.7081118262172722e-08,2.4063464809515345e-10,1.593461962610234e-09,8.284104759278281e-10,1.4772344347680845e-10,1.0222513656792073e-09,4.1846145937301587e-10,7.446337031531992e-10,4.5847500034015224e-10,5.841872928692126e-11,6.037897961276489e-12,1.45845380387952e-10,1.7378735718900472e-15,5.304744219128227e-13,1.1595821199478356e-15,8.627987858115175e-16,1.1581743840611562e-15
8.400272356958611e-10,0.11224539755793111,0.9,0.0,0.0,0.0,0.0,0.09999977419660369,5.8001953596161304e-08,5.527164206804315e-08,3.9839354884825516e-08,4.007192003130762e-08,3.3029191387488015e-08,3.4664385537933643e-08,3.452739456313279e-08,3.451908211882676e-08,3.0858444325560415e-08,3.0858444325560415e-08,2.7857045666694915e-08,2.8022546876331085e-08,2.488522112243838e-10,1.6544981368856729e-09,8.609529521956544e-10,1.5334624495926752e-10,1.0971875706180743e-09,4.5087067366735757e-10,7.969777286967502e-10,4.905945667614215e-10,6.254086836342322e-11,6.250365698875349e-12,1.5630349910109853e-10,1.798288286465172e-15,5.811689118031569e-13,1.1998872926438389e-15,8.927927947663297e-16,1.1983826324099571e-15
8.681681022848078e-10,0.11224539842177926,0.9,0.0,0.0,0.0,0.0,0.09999976663217716,5.995093403128933e-08,5.709539434369739e-08,4.1169880977616356e-08,4.14182041742486e-08,3.410913242462216e-08,3.582756007600901e-08,3.568125117180783e-08,3.567240627276162e-08,3.18921993215197e-08,3.18921993215197e-08,2.8787395533791486e-08,2.8964160613513695e-08,2.5706351968440677e-10,1.7154889141828488e-09,8.934566941394879e-10,1.5896178300272446e-10,1.17477053946217e-09,4.844896557249112e-10,8.510910569776121e-10,5.237921745262507e-10,6.680367971725508e-11,6.462799556233333e-12,1.6712323679599106e-10,1.8587148667260147e-15,6.345275849833129e-13,1.2401998831064683e-15,9.227926969828227e-16,1.2385951542801054e-15
8.963089688737546e-10,0.11224539928612266,0.9,0.0,0.0,0.0,0.0,0.09999975906774851,6.190029742921406e-08,5.891775872401924e-08,4.2500142474602595e-08,4.2764735940663166e-08,3.518766424144862e-08,3.699085833367114e-08,3.6834923430455524e-08,3.682553215321021e-08,3.292595423928114e-08,3.292595423928114e-08,2.9717560406495493e-08,2.990595944414976e-08,2.6526857907846107e-10,1.7764340391528924e-09,9.259209158225809e-10,1.645700465588333e-10,1.2549978076417507e-09,5.193168403883418e-10,9.069729183113848e-10,5.580670031543398e-10,7.120717831572793e-11,6.675199500331222e-12,1.783045357640552e-10,1.919153310252413e-15,6.905716649863036e-13,1.280519881582156e-15,9.52798491178283e-16,1.2788119461765699e-15
9.244498354627013e-10,0.11224540015096095,0.9,0.0,0.0,0.0,0.0,0.09999975150331775,6.385004372407197e-08,6.07387364734438e-08,4.383013942838283e-08,4.4111515007371456e-08,3.626478932605361e-08,3.815428024336189e-08,3.79884111506877e-08,3.79784597892644e-08,3.395970907884474e-08,3.395970907884474e-08,3.064754032157772e-08,3.084794333863825e-08,2.7346739508554683e-10,1.8373333371859652e-09,9.583450235785809e-10,1.7017103107333018e-10,1.3378669116576972e-09,5.553506609714641e-10,9.646225438526204e-10,5.934182329322316e-10,7.575137911798095e-11,6.8875654869093685e-12,1.8984733824716712e-10,1.9796036149875386e-15,7.493204931661041e-13,1.3208472783896677e-15,9.828101763977498e-16,1.319033005727676e-15
9.807315686405948e-10,0.11224540188212077,0.9,0.0,0.0,0.0,0.0,0.09999973637444974,6.775068474118181e-08,6.437653683553993e-08,4.6489339916667465e-08,4.680581375170533e-08,3.841482849136075e-08,4.048149474868965e-08,4.029483222401772e-08,4.028372044454536e-08,3.6027218523378295e-08,3.6027218523378295e-08,3.250694542592353e-08,3.27324662006173e-08,2.8984631942367016e-10,1.9589940511667057e-09,1.0230712585934674e-09,1.8135116804870406e-10,1.5115207826683578e-09,6.310319407420951e-10,1.0852220161018502e-09,6.673466207260785e-10,8.526194712953814e-11,7.312195451477593e-12,2.1401722239644592e-10,2.1005398007750874e-15,8.750011962618824e-13,1.4015242284956438e-15,1.0428512169144973e-15,1.3994879211495437e-15
9.999999999999999e-10,0.11224540361525581,0.9,0.0,0.0,0.0,0.0,0.09999973119497763,6.908644730689243e-08,6.562069060719247e-08,4.739949213261259e-08,4.772845166080207e-08,3.9149621215430024e-08,4.127834584088041e-08,4.108428099419023e-08,4.107275985081521e-08,3.673504426935887e-08,3.673504426935887e-08,3.314335540430673e-08,3.3377815354314755e-08,2.954480290625621e-10,2.00060310996502e-09,1.0451930249216645e-09,1.8517207959664453e-10,1.5733947571471266e-09,6.580473037025626e-10,1.1281330575463839e-09,6.936439289160565e-10,8.864731307513433e-11,7.457539096986289e-12,2.2262407781826696e-10,2.1419540180287515e-15,9.205532897595442e-13,1.4291513044393594e-15,1.0634120852102483e-15,1.4270361227173851e-15
1.0370133018184883e-09,0.11224540361525581,0.9,0.0,0.0,0.0,0.0,0.099999721245573,7.165285655590428e-08,6.800880461776064e-08,4.914748286304997e-08,4.9501097832347906e-08,4.055926733208312e-08,4.280920305189934e-08,4.2600512891197035e-08,4.25881884712924e-08,3.8094727655120196e-08,3.8094727655120196e-08,3.436561114084915e-08,3.461772896203929e-08,3.062003336026905e-10,2.0804705726696074e-09,1.0876330590771062e-09,1.9250222651435924e-10,1.6957124940127976e-09,7.115209659177366e-10,1.2128833380154788e-09,7.455707942755145e-10,9.533550326168716e-11,7.736689173201342e-12,2.3963242593547823e-10,2.2215234073482512e-15,1.0116921159321932e-12,1.4822306562461635e-15,1.1029158106102063e-15,1.479959880686903e-15
1.0932950349963818e-09,0.11224540535036315,0.9,0.0,0.0,0.0,0.0,0.09999970611668746,7.55565586416794e-08,7.163554863718539e-08,5.1804568687942876e-08,5.219736468207262e-08,4.269812210398244e-08,4.513740461319585e-08,4.490545165660154e-08,4.489186410215573e-08,4.016223647407024e-08,4.016223647407024e-08,3.622353776025793e-08,3.650373138501181e-08,3.225294774495184e-10,2.2017627758687106e-09,1.152029187982903e-09,2.0362426316250152e-10,1.8904224395073113e-09,7.968052283142195e-10,1.3476003849471036e-09,8.280842205307585e-10,1.0597216689358186e-10,8.161046397962579e-12,2.6669248459787777e-10,2.3425544184577373e-15,1.1594939355441633e-12,1.5629664847660699e-15,1.1630039499869126e-15,1.5604488659934196e-15
1.1495767681742752e-09,0.11224540708744,0.9,0.0,0.0,0.0,0.0,0.09999969098779302,7.946179047210176e-08,7.525677749963908e-08,5.4460597811591574e-08,5.489461174093618e-08,4.4831408334920113e-08,4.746609889308171e-08,4.7209647029487236e-08,4.7194747569747834e-08,4.222974498022827e-08,4.222974498022827e-08,3.808072557793642e-08,3.839047323116318e-08,3.3883378971500525e-10,2.322870733522885e-09,1.2162590896256021e-09,2.1471734673798807e-10,2.09563106801352e-09,8.868722469504846e-10,1.4893670428227529e-09,9.14880376727324e-10,1.1717205727384139e-10,8.585266841148932e-12,2.9519693320735177e-10,2.463632817754671e-15,1.318488871640657e-12,1.6437316373826223e-15,1.2231156274369941e-15,1.6409548584120966e-15
1.2058585013521687e-09,0.11224540882648346,0.9,0.0,0.0,0.0,0.0,0.09999967585888957,8.336855152092045e-08,7.887249968422839e-08,5.711557065407442e-08,5.7592836456033664e-08,4.6959141084342835e-08,4.979528535235699e-08,4.9513097523925615e-08,4.949683910664339e-08,4.429725317359407e-08,4.429725317359407e-08,3.9937174887554366e-08,4.0277954261644e-08,3.55113308574747e-10,2.4437946321600267e-09,1.2803226335499175e-09,2.257815520724603e-10,2.311318883338512e-09,9.8170957090498e-10,1.6381772078417894e-09,1.0059527502204594e-09,1.2893529352062217e-10,9.009350216297273e-12,3.251453056564271e-10,2.5847585888924e-15,1.4887434433551717e-12,1.7245260376335153e-15,1.2832508353352138e-15,1.7214778392873264e-15
1.2621402345300622e-09,0.11224541056749054,0.9,0.0,0.0,0.0,0.0,0.09999966072997714,8.727684126203916e-08,8.24827236050896e-08,5.97694876353027e-08,6.029203628131826e-08,4.9081335129156476e-08,5.212496345211918e-08,5.181580165875369e-08,5.1798138945379345e-08,4.636476105416747e-08,4.636476105416747e-08,4.17928859826648e-08,4.2166174237128704e-08,3.7136807191305934e-10,2.564534710212057e-09,1.3442199311300137e-09,2.368169556803627e-10,2.5374664438272888e-09,1.0813047814266874e-09,1.7940247862561256e-09,1.101294838360328e-09,1.412619946216899e-10,9.43329625811668e-12,3.56537134889926e-10,2.7059317155298044e-15,1.6703108496519424e-12,1.805349609261964e-15,1.343409566041843e-15,1.8020177899762885e-15
1.3184219677079557e-09,0.11224541231045851,0.9,0.0,0.0,0.0,0.0,0.0999996456010556,9.118665916951602e-08,8.608745764791833e-08,6.242234917502089e-08,6.299220867747945e-08,5.1198005082956625e-08,5.4455132653762974e-08,5.411775795754574e-08,5.4098647318454825e-08,4.843226862194829e-08,4.843226862194829e-08,4.3647859156704046e-08,4.405513291781701e-08,3.8759811748587054e-10,2.685091221429046e-09,1.4079512178169843e-09,2.4782363338284343e-10,2.774054361287756e-09,1.1856454929548963e-09,1.956903694222985e-09,1.2009001484120514e-09,1.5415227943449139e-10,9.857104701171095e-12,3.8937195292603667e-10,2.8271521813303845e-15,1.8632330052283583e-12,1.8862022762129176e-15,1.4035918119018656e-15,1.882574691845818e-15
1.3747037008858492e-09,0.11224541405538456,0.9,0.0,0.0,0.0,0.0,0.099999630472125,9.50980047175636e-08,8.968671017873796e-08,6.507415569280647e-08,6.569335111187824e-08,5.330916545027568e-08,5.6785792418980205e-08,5.64189649486002e-08,5.639836445833112e-08,5.049977587693633e-08,5.049977587693633e-08,4.550209470299181e-08,4.59448300634356e-08,4.038034829605938e-10,2.805464426111898e-09,1.4715167992902783e-09,2.5880166024912946e-10,3.02106329897545e-09,1.2947193528441682e-09,2.126807857731259e-09,1.3047621975251246e-09,1.6760626668622666e-10,1.028077526944267e-11,4.23649290868132e-10,2.948419969962482e-15,2.067542261974485e-12,1.9670839626311596e-15,1.463797565245235e-15,1.963148526273169e-15
