Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19)
1e-12,0.11224537203925934,0.9,0.0,0.0,0.0,0.0,0.09999999973119554,6.884386019139559e-11,6.852624368406595e-11,4.7567186872907875e-11,4.7567186872907875e-11,4.119247109796086e-11,4.1199419024948444e-11,4.1198296370426564e-11,4.1198296370426564e-11,3.673509359126921e-11,3.673509359126921e-11,3.3260600551241097e-11,3.3260600551241097e-11,3.0418939355888563e-13,1.3427113770750148e-14,5.7084326773602236e-15,1.2394943102273816e-15,0.0
1.3011833281272862e-12,0.11224537203925934,0.9,0.0,0.0,0.0,0.0,0.09999999965023612,8.957848308958088e-11,8.915896745785664e-11,6.189363050049117e-11,6.189363050049117e-11,5.3596390187855655e-11,5.3607997142614704e-11,5.3606536363268166e-11,5.3606536363268166e-11,4.779909131927154e-11,4.779909131927154e-11,4.3278138903678705e-11,4.3278138903678705e-11,3.970932778914425e-13,2.2422353832804522e-14,9.535364566975452e-15,2.071590192077355e-15,0.0
1.6540469280274912e-12,0.112245372049906,0.9,0.0,0.0,0.0,0.0,0.09999999955538481,1.1387097536493339e-10,1.1332912027999081e-10,7.867835925419324e-11,7.867835925419324e-11,6.812716544515383e-11,6.814577241596669e-11,6.814391549270512e-11,6.814391549270512e-11,6.076156865304245e-11,6.076156865304245e-11,5.5014594118687036e-11,5.5014594118687036e-11,5.059252992860471e-13,3.592978565653392e-14,1.528430696798027e-14,3.3226638448787063e-15,0.0
2.3597741278279012e-12,0.11224537207119922,0.9,0.0,0.0,0.0,0.0,0.0999999993656822,1.6245595984651188e-10,1.6165992257058503e-10,1.1224781671383494e-10,1.1224781671383494e-10,9.718374890871158e-11,9.722132292130207e-11,9.721867371021162e-11,9.721867371021162e-11,8.668652328369837e-11,8.668652328369837e-11,7.848750451530657e-11,7.848750451530657e-11,7.235465439675491e-13,7.249073195932384e-14,3.085695460325448e-14,6.717057987228863e-15,0.0
3.0655013276283112e-12,0.1122453720924925,0.9,0.0,0.0,0.0,0.0,0.09999999917597958,2.110409442359218e-10,2.0997812375839306e-10,1.4581727410979337e-10,1.4581727410979337e-10,1.2623373558767331e-10,1.2629687337147939e-10,1.2629343187256156e-10,1.2629343187256156e-10,1.126114778651731e-10,1.126114778651731e-10,1.0196041486739659e-10,1.0196041486739659e-10,9.411110399168907e-13,1.217094376118305e-13,5.183887887125568e-14,1.129890493483348e-14,0.0
3.771228527428721e-12,0.11224537211378571,0.9,0.0,0.0,0.0,0.0,0.09999999898627697,2.596259285331641e-10,2.58283824397534e-10,1.7938673144206928e-10,1.7938673144206928e-10,1.5527716280897797e-10,1.553724237664993e-10,1.5536818997975559e-10,1.5536818997975559e-10,1.3853643239746724e-10,1.3853643239746724e-10,1.2543332517495762e-10,1.2543332517495762e-10,1.1586192399768648e-12,1.8348489565322e-13,7.819594464745184e-14,1.706501287390483e-14,0.0
4.476955727229131e-12,0.11224537213507896,0.9,0.0,0.0,0.0,0.0,0.09999999879657435,3.0821091273823923e-10,3.065771269133578e-10,2.129561887106629e-10,2.129561887106629e-10,1.8431406865044647e-10,1.84447974106362e-10,1.844429480317939e-10,1.844429480317939e-10,1.64461386880581e-10,1.64461386880581e-10,1.4890623543798982e-10,1.4890623543798982e-10,1.3760716054175816e-12,2.577142194638016e-13,1.0989333459884147e-13,2.4012121316727486e-14,0.0
5.8884101268299505e-12,0.11224537217766543,0.9,0.0,0.0,0.0,0.0,0.09999999841716913,4.05380880871888e-10,4.031269118491532e-10,2.8009510305680344e-10,2.8009510305680344e-10,2.4236845571757696e-10,2.42599074620616e-10,2.425924639704036e-10,2.425924639704036e-10,2.163112956992673e-10,2.163112956992673e-10,1.9585205583046786e-10,1.9585205583046786e-10,1.8108105179747952e-12,4.4315850476003244e-13,1.8918155674722327e-13,4.1437346291798276e-14,0.0
7.29986452643077e-12,0.1122453722202519,0.9,0.0,0.0,0.0,0.0,0.0999999980377639,5.025508486368685e-10,4.996282837760103e-10,3.4723401714821524e-10,3.4723401714821524e-10,3.0039719736761785e-10,3.007501749142415e-10,3.007419796883909e-10,3.007419796883909e-10,2.6816120432123226e-10,2.6816120432123226e-10,2.4279787604483093e-10,2.4279787604483093e-10,2.245331403831223e-12,6.772334570271818e-13,2.8942885908089777e-13,6.354868754280615e-14,0.0
8.71131892603159e-12,0.11224537226283843,0.9,0.0,0.0,0.0,0.0,0.09999999765835867,5.997208160331811e-10,5.96082077506216e-10,4.143729309848986e-10,4.143729309848986e-10,3.5840060639554223e-10,3.5890127498723874e-10,3.5889149518575584e-10,3.5889149518575584e-10,3.2001111274647615e-10,3.2001111274647615e-10,2.89743696081079e-10,2.89743696081079e-10,2.6796380225423375e-12,9.591005044227446e-13,4.1034954595941936e-13,9.031904573706953e-14,0.0
