Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825)
1.3291689669393066e-12,0.11224537204010378,0.9,0.0,0.0,0.0,0.0,0.09999999964271347,9.150512249105563e-11,9.107600285571966e-11,6.322482860867208e-11,6.322482860867208e-11,5.4748878595865225e-11,5.47609892001585e-11,5.475949700260807e-11,5.475949700260807e-11,4.8827146377965765e-11,4.8827146377965765e-11,4.420895805531517e-11,4.420895805531517e-11,4.057251984524146e-13,2.339443688355934e-14,9.949019608828282e-15,2.153746826456169e-15,7.837857989037304e-18,7.837857989037304e-18
1.6896218995978163e-12,0.11224537205097938,0.9,0.0,0.0,0.0,0.0,0.09999999954582212,1.1632009372629611e-10,1.1576571072332344e-10,8.037056056953104e-11,8.037056056953104e-11,6.959202660676567e-11,6.961144057186259e-11,6.960954371019848e-11,6.960954371019848e-11,6.20684185590563e-11,6.20684185590563e-11,5.619783903397112e-11,5.619783903397112e-11,5.168966432317678e-13,3.748635974091673e-14,1.5946982332815274e-14,3.451232190116815e-15,1.5750573992730878e-17,1.5750573992730878e-17
2.410527764914836e-12,0.11224537207273061,0.9,0.0,0.0,0.0,0.0,0.0999999993520394,1.659500361246451e-10,1.6513521476934275e-10,1.146620244414099e-10,1.146620244414099e-10,9.92731413611156e-11,9.931234327210361e-11,9.930963708221326e-11,9.930963708221326e-11,8.855096288274776e-11,8.855096288274776e-11,8.017560095643382e-11,8.017560095643382e-11,7.391948957498073e-13,7.562645955254933e-14,3.219318999236815e-14,6.963162300189345e-15,4.55586954441658e-17,4.55586954441658e-17
3.1314336302318554e-12,0.11224537209448182,0.9,0.0,0.0,0.0,0.0,0.09999999915825669,2.1557997842681813e-10,2.1449157783663133e-10,1.4895348824683665e-10,1.4895348824683665e-10,1.2894737536689117e-10,1.2901324591478835e-10,1.290097303966734e-10,1.290097303966734e-10,1.1503350715511971e-10,1.1503350715511971e-10,1.0415336283243093e-10,1.0415336283243093e-10,9.614339682185237e-13,1.269666219682601e-13,5.408114722505213e-14,1.1690919816782385e-14,9.848085535305117e-17,9.848085535305117e-17
3.852339495548875e-12,0.112245372116233,0.9,0.0,0.0,0.0,0.0,0.09999999896447398,2.6520992063281634e-10,2.6383490702800356e-10,1.8324495198581204e-10,1.8324495198581204e-10,1.5861476832080736e-10,1.587141484999176e-10,1.5870982365357951e-10,1.5870982365357951e-10,1.415160513761728e-10,1.415160513761728e-10,1.2813112466196302e-10,1.2813112466196302e-10,1.1836143429728292e-12,1.9139926183996604e-13,8.157449055552042e-14,1.7624762826115388e-14,1.809257285933596e-16,1.809257285933596e-16
4.573245360865894e-12,0.11224537213798427,0.9,0.0,0.0,0.0,0.0,0.09999999877069127,3.1483986274264007e-10,3.131653114238937e-10,2.1753641565833641e-10,2.1753641565833641e-10,1.882753606984892e-10,1.8841505102749145e-10,1.8840991685293188e-10,1.8840991685293188e-10,1.6799859554590721e-10,1.6799859554590721e-10,1.5210888644503025e-10,1.5210888644503025e-10,1.4057365112537678e-12,2.6881480749256e-13,1.146361335252043e-13,2.475476779193514e-14,2.9942768513810966e-16,2.9942768513810966e-16
6.015057091499933e-12,0.11224537218148672,0.9,0.0,0.0,0.0,0.0,0.09999999838312586,4.1409974667376424e-10,4.117877443250218e-10,2.86119342804032e-10,2.86119342804032e-10,2.475762919189078e-10,2.4781685590997325e-10,2.4781010307897534e-10,2.4781010307897534e-10,2.2096368373142e-10,2.2096368373142e-10,2.000644098717702e-10,2.000644098717702e-10,1.8498080230108296e-12,4.621943257316386e-13,1.9732850197251968e-13,4.2567000140405957e-14,6.684889525916304e-16,6.684889525916304e-16
7.456868822133971e-12,0.1122453722249892,0.9,0.0,0.0,0.0,0.0,0.09999999799556045,5.133596302201911e-10,5.103597337603763e-10,3.547022696839237e-10,3.547022696839237e-10,3.0685048816661734e-10,3.0721866056223407e-10,3.0721028907480424e-10,3.0721028907480424e-10,2.7392877171165843e-10,2.7392877171165843e-10,2.480199331126511e-10,2.480199331126511e-10,2.293652363958688e-12,7.062440958561435e-13,3.0186574577788237e-13,6.504959834762662e-14,1.2570514912983105e-15,1.2570514912983105e-15
8.89868055276801e-12,0.11224537226849172,0.9,0.0,0.0,0.0,0.0,0.09999999760799504,6.126195133819208e-10,6.088821681777782e-10,4.232851962980116e-10,4.232851962980116e-10,3.6609828121177777e-10,3.6662046498427413e-10,3.6661047484041844e-10,3.6661047484041844e-10,3.268938594866226e-10,3.268938594866226e-10,2.9597545616767293e-10,2.9597545616767293e-10,2.7372735351988976e-12,1.0000716689439562e-12,4.2794371114492903e-13,9.21216710366521e-14,2.1183903148295745e-15,2.1183903148295745e-15
1e-11,0.11224537235549688,0.9,0.0,0.0,0.0,0.0,0.09999999731195547,6.884385936125054e-10,6.841050865611821e-10,4.756718629932499e-10,4.756718629932499e-10,4.113367687797768e-10,4.1199418528150504e-10,4.119829587364216e-10,4.119829587364216e-10,3.673509314830389e-10,3.673509314830389e-10,3.3260600150172404e-10,3.3260600150172404e-10,3.075982956950602e-12,1.257524094372846e-12,5.385802872393242e-13,1.158451416043825e-13,2.9910728844603357e-15,2.9910728844603357e-15
1.1782304014036088e-11,0.11224537235549688,0.9,0.0,0.0,0.0,0.0,0.09999999683286422,8.111392785512882e-10,8.057817014335708e-10,5.604510487287758e-10,5.604510487287758e-10,4.845159102961977e-10,4.854240731376911e-10,4.854108456810027e-10,4.854108456810027e-10,4.3282403442072774e-10,4.3282403442072774e-10,3.918865017201393e-10,3.918865017201393e-10,3.6238613627568204e-12,1.7337157549606215e-12,7.435728415326693e-13,1.5973081695062575e-13,4.859183010036888e-15,4.859183010036888e-15
1.4377565129177358e-11,0.1122453724338017,0.9,0.0,0.0,0.0,0.0,0.09999999613524647,9.898070658880534e-10,9.828300975305352e-10,6.839003150074141e-10,6.839003150074141e-10,5.91004600413002e-10,5.923473196884105e-10,5.923311786501942e-10,5.923311786501942e-10,5.281611911593841e-10,5.281611911593841e-10,4.782064420817208e-10,4.782064420817208e-10,4.421064520444731e-12,2.5559038370735814e-12,1.0984436608547971e-12,2.3551909835112003e-13,8.756516202396455e-15,8.756516202396455e-15
1.6972826244318628e-11,0.11224537251210667,0.9,0.0,0.0,0.0,0.0,0.09999999543762876,1.1684748519783984e-09,1.1597305680428273e-09,8.073495804248473e-10,8.073495804248473e-10,6.97412513703944e-10,6.992705654932136e-10,6.992515108734895e-10,6.992515108734895e-10,6.234983472329516e-10,6.234983472329516e-10,5.645263818411186e-10,5.645263818411186e-10,5.2176014991889276e-12,3.5266824363820273e-12,1.5187303867401398e-12,3.2502553062822824e-13,1.4295871901235247e-14,1.4295871901235247e-14
1.95680873594599e-11,0.11224537259041187,0.9,0.0,0.0,0.0,0.0,0.09999999474001103,1.3471426368223227e-09,1.336487578008518e-09,9.307988449810756e-10,9.307988449810756e-10,8.03741354138518e-10,8.061938105521001e-10,8.061718423508889e-10,8.061718423508889e-10,7.188355026414301e-10,7.188355026414301e-10,6.508463209983326e-10,6.508463209983326e-10,6.013492407169738e-12,4.6415664066350765e-12,2.002868446421355e-12,4.2784249018174155e-13,2.174547697932514e-14,2.174547697932514e-14
