Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32)
1.5770607401923034e-12,0.1122453720475837,0.9,0.0,0.0,0.0,0.0,0.09999999957607905,1.085715624990245e-10,1.0805365030652951e-10,7.501591899478749e-11,7.501676669084275e-11,6.49565958423131e-11,6.497418674983122e-11,6.497252998699915e-11,6.497189861185555e-11,5.7933473845835935e-11,5.7933473845835935e-11,5.2453690920848007e-11,5.245428365034944e-11,4.821398649835939e-13,3.276509858940165e-14,1.393718870292695e-14,3.016554403988422e-15,1.7959427332865516e-15,1.281845634790734e-17,2.887880302100782e-15,1.7831242769386443e-15,2.2335010039670923e-16
2.341696879136534e-12,0.11224537207065496,0.9,0.0,0.0,0.0,0.0,0.09999999937054145,1.61212794280982e-10,1.6041685219961646e-10,1.113870055699454e-10,1.1138885987959283e-10,9.643859423548396e-11,9.647698946705509e-11,9.647460916452728e-11,9.647322817035745e-11,8.602245386423888e-11,8.602245386423888e-11,7.788559605425525e-11,7.788689269345895e-11,7.179025093909005e-13,7.143954236288687e-14,3.040978392731426e-14,6.577727903645341e-15,3.964401631357205e-15,4.200539311108792e-17,6.3171775249755795e-15,3.9223962382461175e-15,4.885953003422866e-16
3.106333018080765e-12,0.1122453720937265,0.9,0.0,0.0,0.0,0.0,0.09999999916500385,2.1385431038096422e-10,2.1276413934918935e-10,1.4775789554222038e-10,1.4776114936833208e-10,1.2791265000887163e-10,1.2797988509289772e-10,1.279768337516521e-10,1.2797441064203414e-10,1.1411143382489301e-10,1.1411143382489301e-10,1.0331736373118614e-10,1.0331963909278857e-10,9.535934876417221e-13,1.2497660921226163e-13,5.32341260219226e-14,1.1507912788843785e-14,6.999078024308293e-15,9.661432387690178e-17,1.1085054154856151e-14,6.902463700431392e-15,8.573952202937794e-16
3.870969157024996e-12,0.11224537211679826,0.9,0.0,0.0,0.0,0.0,0.09999999895946625,2.664961107471398e-10,2.6509564165151444e-10,1.8412858894759014e-10,1.8413363507520238e-10,1.5937881150378377e-10,1.5948287360953378e-10,1.5947920364054945e-10,1.5947544605360293e-10,1.422004137278086e-10,1.422004137278086e-10,1.2874899397679474e-10,1.287525228245115e-10,1.1892133847539913e-12,1.9324634094161094e-13,8.236613550798889e-14,1.7795356575160837e-14,1.0907153053725674e-14,1.8421778729954437e-16,1.719114172488627e-14,1.072293526642613e-14,1.3297317326815375e-15
4.635605295969227e-12,0.11224537213987026,0.9,0.0,0.0,0.0,0.0,0.09999999875392865,3.191381953613468e-10,3.1741149037691e-10,2.2049908579875512e-10,2.20506316940296e-10,1.908371274012174e-10,1.9098595501011014e-10,1.9098171873848376e-10,1.9097633441435962e-10,1.7028939357298904e-10,1.7028939357298904e-10,1.5418048679996054e-10,1.5418554388110744e-10,1.4247627918383825e-12,2.7611727443263456e-13,1.1776130815966824e-13,2.542817138691083e-14,1.569609969844389e-14,3.12586803773116e-16,2.4635226957345477e-14,1.5383512894670773e-14,1.905598998477214e-15
6.164877573857689e-12,0.11224537218601506,0.9,0.0,0.0,0.0,0.0,0.09999999834285345,4.244232173193117e-10,4.2199670486618425e-10,2.9323948984905217e-10,2.93252268961011e-10,2.5373039965050036e-10,2.539923964549266e-10,2.539871842482096e-10,2.5397766999058984e-10,2.2646735309014654e-10,2.2646735309014654e-10,2.0504306018636155e-10,2.05051997966541e-10,1.8956522873942356e-12,4.85184079876588e-13,2.0717890776016925e-13,4.4686620517531685e-14,2.794413561762849e-14,7.200875603712617e-16,4.353685330812548e-14,2.7224048057257225e-14,3.3679233706368796e-15
7.69414985174615e-12,0.11224537223216084,0.9,0.0,0.0,0.0,0.0,0.09999999793177825,5.297093762218365e-10,5.265208102677211e-10,3.659791077170817e-10,3.65999005032645e-10,3.165928483873772e-10,3.169992094091916e-10,3.169932296060812e-10,3.169784173870066e-10,2.8264531237637006e-10,2.8264531237637006e-10,2.5590508390714756e-10,2.559190013431884e-10,2.366266601118944e-12,7.511476520667577e-13,3.2113759190924834e-13,6.919014356729459e-14,4.380237912204676e-14,1.3803333078424249e-15,6.778876925280534e-14,4.2422045814204326e-14,5.244362533184692e-15
9.223422129634613e-12,0.11224537227830769,0.9,0.0,0.0,0.0,0.0,0.09999999752070304,6.349966720478242e-10,6.309848700945316e-10,4.387179394186277e-10,4.387465247502698e-10,3.7942486982260393e-10,3.8000639385825773e-10,3.799998541191387e-10,3.799785766136801e-10,3.388232714316617e-10,3.388232714316617e-10,3.067665579733534e-10,3.067865540114354e-10,2.8366105221542106e-12,1.0729424402444476e-12,4.592745545143263e-13,9.884231351661411e-14,6.333219868850696e-14,2.3567513352691132e-15,9.738982861899143e-14,6.097544735323785e-14,7.534915354423265e-15
1e-11,0.11224537237060431,0.9,0.0,0.0,0.0,0.0,0.09999999731195545,6.884629192159901e-10,6.840099657376905e-10,4.756550549085663e-10,4.756886529568298e-10,4.1131999178328176e-10,4.120021367471121e-10,4.1199539196563416e-10,4.1197038463872285e-10,3.673509314829288e-10,3.673509314829288e-10,3.325942499955085e-10,3.326177535228285e-10,3.075353203980673e-12,1.2574084141602667e-12,5.385687227582538e-13,1.1584218788161222e-13,7.467362966472097e-14,2.9926237374118407e-15,1.1446904862558966e-13,7.168100592730913e-14,8.856618810549452e-15
1.2281966685411535e-11,0.11224537237060431,0.9,0.0,0.0,0.0,0.0,0.09999999669855265,8.455746744580428e-10,8.397368275869669e-10,5.841932443353206e-10,5.842439136372624e-10,5.049991227962099e-10,5.060218772066468e-10,5.060148380457496e-10,5.059771305607948e-10,4.5117918884944295e-10,4.5117918884944295e-10,4.0848785715114684e-10,4.0852330725798324e-10,3.77650508445443e-12,1.880043253343686e-12,8.06716107525436e-13,1.7323185638180129e-13,1.136364691271936e-13,5.4955276405961635e-15,1.7263538362240592e-13,1.0814094148659743e-13,1.335838305285723e-14
1.5034656785610765e-11,0.11224537245367484,0.9,0.0,0.0,0.0,0.0,0.0999999959586173,1.0350987648260063e-09,1.0274181339090675e-09,7.151183301375648e-10,7.15194239965073e-10,6.179156089979758e-10,6.194370826309704e-10,6.19430297875637e-10,6.193738176055752e-10,5.522995137356535e-10,5.522995137356535e-10,5.000351466390502e-10,5.000882638215863e-10,4.621530031063844e-12,2.787456943719934e-12,1.1986944372928663e-12,2.5689216186656425e-13,1.720395034158319e-13,9.993013858796658e-15,2.5864027017391085e-13,1.6204648955703523e-13,2.0015807531703676e-14
1.7787346885809995e-11,0.11224537253674875,0.9,0.0,0.0,0.0,0.0,0.09999999521868198,1.224626538686527e-09,1.214919959211595e-09,8.460408688748148e-10,8.461470995769013e-10,7.307391885279012e-10,7.328534915362961e-10,7.328476243870161e-10,7.327685990398447e-10,6.534198378736389e-10,6.534198378736389e-10,5.915806553260961e-10,5.91655000181368e-10,5.465746753195606e-12,3.860667778435363e-12,1.6638064439491253e-12,3.558660090706514e-13,2.4320960213824765e-13,1.6414861280767226e-14,3.619607677944822e-13,2.267947408574804e-13,2.8015007992323506e-14
2.0540036986009225e-11,0.11224537261982605,0.9,0.0,0.0,0.0,0.0,0.09999999447874665,1.414157995978276e-09,1.4022476117288491e-09,9.769608605961811e-10,9.771024904111741e-10,8.434718847166075e-10,8.46271103859111e-10,8.462668141135453e-10,8.461614748905984e-10,7.545401612633996e-10,7.545401612633996e-10,6.831243832466168e-10,6.83223516366809e-10,6.309179154778826e-12,5.094357272811366e-12,2.200196206611608e-12,4.696707340787563e-13,3.274538643534502e-13,2.507838565568983e-14,4.825912771605945e-13,3.0237547869776036e-13,3.735599883579717e-14
