Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54)
1.333584537859208e-12,0.11224537204023721,0.9,0.0,0.0,0.0,0.0,0.09999999964152655,9.180954809915723e-11,9.137802625351913e-11,6.343456041357273e-11,6.343516932920807e-11,5.493040866544169e-11,5.494321263795925e-11,5.494163676698361e-11,5.4941183220586546e-11,4.8989352788570146e-11,4.8989352788570146e-11,4.4355609714736195e-11,4.435603547765409e-11,4.0708517313168604e-13,2.3557363191457436e-14,1.0018372529197013e-14,2.1687469460206063e-15,7.937407013384192e-18,7.937407013384192e-18,1.9139878681857703e-15
1.7014702717355145e-12,0.11224537205133722,0.9,0.0,0.0,0.0,0.0,0.09999999954263722,1.1713649357267454e-10,1.165765086539309e-10,8.093366221227256e-11,8.093464628942503e-11,7.007940583632298e-11,7.010007870576368e-11,7.009804127845222e-11,7.00973083279049e-11,6.250366961701707e-11,6.250366961701707e-11,5.659157895897368e-11,5.659226705481325e-11,5.205475108608467e-13,3.801636149590768e-14,1.6172650815096136e-14,3.5000305665295994e-15,1.6110906619675074e-17,1.6110906619675074e-17,3.093219378939771e-15
2.4372417394881274e-12,0.11224537207353727,0.9,0.0,0.0,0.0,0.0,0.09999999934485856,1.6779058191406502e-10,1.6696295551390717e-10,1.1593172931352639e-10,1.1593373651361277e-10,1.0037186755109626e-10,1.0041394724063687e-10,1.004109512951332e-10,1.0040945642415329e-10,8.953230323381753e-11,8.953230323381753e-11,8.106342201507778e-11,8.106482557138885e-11,7.47424819147002e-13,7.730315371984029e-14,3.290778478695523e-14,7.117552997982663e-15,4.715166929622663e-17,4.715166929622663e-17,6.309183688437558e-15
3.1730132072407403e-12,0.11224537209573755,0.9,0.0,0.0,0.0,0.0,0.09999999914707991,2.1844493344714155e-10,2.173354578402847e-10,1.5092961442054975e-10,1.509330084467419e-10,1.3065698183167347e-10,1.3072799764056515e-10,1.3072399592144118e-10,1.307214683628982e-10,1.165609367971602e-10,1.165609367971602e-10,1.0553513782846161e-10,1.0553751123801734e-10,9.74239328778363e-13,1.3033530997978858e-13,5.551811477257982e-14,1.2001132676320696e-14,1.025352506642247e-16,1.025352506642247e-16,1.0668403846588758e-14
3.908784674993353e-12,0.11224537211793792,0.9,0.0,0.0,0.0,0.0,0.09999999894930126,2.690995481676857e-10,2.676941295865103e-10,1.8592731753638286e-10,1.859324620444803e-10,1.6093479095068524e-10,1.6104222990250981e-10,1.6103717508598917e-10,1.6103334414623496e-10,1.4358957030704566e-10,1.4358957030704566e-10,1.300067264012507e-10,1.3001032405375193e-10,1.2009915529427415e-12,1.9699843597720328e-13,8.39649618486469e-14,1.814040990288283e-14,1.8907197563239458e-16,1.8907197563239458e-16,1.617075285414058e-14
4.644556142745966e-12,0.11224537214013842,0.9,0.0,0.0,0.0,0.0,0.0999999987515226,3.1975442607350277e-10,3.180390867919613e-10,2.2092483866266976e-10,2.2093209726299512e-10,1.912053380046143e-10,1.9135664402482739e-10,1.9135048871708082e-10,1.9134508377520955e-10,1.706182037634742e-10,1.706182037634742e-10,1.544781877345944e-10,1.5448326401865317e-10,1.4276820142204987e-12,2.7717604139089576e-13,1.182088820108429e-13,2.552483326345487e-14,3.137046134259611e-16,3.137046134259611e-16,2.2816110314202362e-14
6.1160990782511914e-12,0.11224537218453981,0.9,0.0,0.0,0.0,0.0,0.09999999835596532,4.2106497143604815e-10,4.1868828139505113e-10,2.9091933495046667e-10,2.909319124037843e-10,2.5172480367573247e-10,2.519860178467196e-10,2.5197751911847063e-10,2.5196815457228105e-10,2.2467547051596042e-10,2.2467547051596042e-10,2.034207286856454e-10,2.0342952539772844e-10,1.8808795567535465e-12,4.776492259708919e-13,2.039435179888301e-13,4.399056942861242e-14,7.026302519962436e-16,7.026302519962436e-16,3.9535423673338604e-14
7.587642013756416e-12,0.11224537222894176,0.9,0.0,0.0,0.0,0.0,0.09999999796040802,5.22376569524066e-10,5.192839532297242e-10,3.609131032923599e-10,3.609324535273719e-10,3.122157185505669e-10,3.1261611909782294e-10,3.126050865653353e-10,3.1259068075893943e-10,2.787327370546191e-10,2.787327370546191e-10,2.5236276068750055e-10,2.5237629537903013e-10,2.3338360616545207e-12,7.308397347618898e-13,3.124110068075342e-13,6.731541481236149e-14,1.3238906241626425e-15,1.3238906241626425e-15,6.082542446704758e-14
9.059184949261641e-12,0.1122453722733442,0.9,0.0,0.0,0.0,0.0,0.09999999756485073,6.236892203271149e-10,6.198270467844927e-10,4.3090614369663483e-10,4.3093372027849337e-10,3.726784356917555e-10,3.732469477698523e-10,3.732331904773291e-10,3.732126623398343e-10,3.327900033794506e-10,3.327900033794506e-10,3.013042837459521e-10,3.013235739669421e-10,2.786555782402531e-12,1.0357994017348574e-12,4.432880288883684e-13,9.541341599601215e-14,2.2340513538533404e-15,2.2340513538533404e-15,8.66851613332555e-14
1e-11,0.11224537236215083,0.9,0.0,0.0,0.0,0.0,0.09999999731195545,6.884629188776719e-10,6.840810397357947e-10,4.756550551424947e-10,4.756886527282242e-10,4.1131999618090534e-10,4.120109931321603e-10,4.11995393476878e-10,4.119703848137563e-10,3.673509314829974e-10,3.673509314829974e-10,3.3259425015906145e-10,3.326177533592755e-10,3.0758749863650762e-12,1.2574922921765103e-12,5.385657918500928e-13,1.1584179292266968e-13,2.9917807526826676e-15,2.9917807526826676e-15,1.0561264927926733e-13
