Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20)
7.863407868427759e-14,0.11224537200237257,0.9,0.0,0.0,0.0,0.0,0.09999999997886276,5.4134748953894705e-12,5.393491766235466e-12,3.740400872301103e-12,3.7404028692379234e-12,3.2396351875071136e-12,3.239678760566455e-12,3.2395891760476395e-12,3.2395892987140382e-12,2.8886302436266527e-12,2.8886302436266527e-12,2.6154159515742663e-12,2.6154173439676257e-12,1.9895467161399283e-14,8.160098119907928e-17,3.462202899420086e-17,7.50255246393789e-18,4.5796076197000784e-17,1.5816155968037231e-21,7.141133867967657e-18,3.18011573601531e-18,5.521138831393422e-19,1.682790668474679e-18,2.8056411064364253e-21,1.4724467595311455e-19,6.30327452981185e-20,9.873236893811769e-20,7.281707682174451e-20,9.665902443592427e-20,1.3979278147339877e-26,4.267460594958035e-17
1.0346636572064417e-13,0.11224537200312179,0.9,0.0,0.0,0.0,0.0,0.09999999997218771,7.1230264409027696e-12,7.095311498269314e-12,4.921602151753525e-12,4.921605632936347e-12,4.262679685375326e-12,4.262754884739574e-12,4.2626364403008615e-12,4.262636652332793e-12,3.800846633034136e-12,3.800846633034136e-12,3.4413522011617188e-12,3.441354629693554e-12,2.7563266375823512e-14,1.4072310723070328e-16,5.972330724802228e-17,1.2941718116783588e-17,6.200819098099942e-17,3.571896606155004e-21,1.231881174265438e-17,5.9301693521422765e-18,9.524771156621402e-19,2.9012990363923674e-18,6.333644837037505e-21,2.0032155186126583e-19,8.293775458692794e-20,1.3414732977765874e-19,9.917001543890209e-20,1.3208602320243317e-19,2.5557324260427042e-26,5.615105384200087e-17
1.5313093979337734e-13,0.11224537200462027,0.9,0.0,0.0,0.0,0.0,0.09999999995883763,1.054213103094598e-11,1.0498862754051578e-11,7.28400367420156e-12,7.284012196045418e-12,6.30872603089761e-12,6.308907623000264e-12,6.308730072078264e-12,6.308730584156948e-12,5.625279411544666e-12,5.625279411544666e-12,5.0932239756895635e-12,5.093229925314818e-12,4.2900671595256716e-14,3.394393057505815e-16,1.4412319840646646e-16,3.122868712468454e-17,9.889058288194319e-17,1.5437578494436398e-20,2.9732980615329044e-17,1.5866614646661915e-17,2.299112873428707e-18,6.989032617743076e-18,2.732880333649565e-20,3.063315028262422e-19,1.227477688866938e-19,2.0488605296033616e-19,1.518022580218745e-19,2.0283742713390848e-19,6.64744800605692e-26,8.310394962233706e-17
2.027955138661105e-13,0.11224537200611878,0.9,0.0,0.0,0.0,0.0,0.09999999994548754,1.3961236820154242e-11,1.3902355392747012e-11,9.646404367439601e-12,9.646419587677931e-12,8.354738272198922e-12,8.355060753141678e-12,8.354822987309776e-12,8.354823895617022e-12,7.449712189811634e-12,7.449712189811634e-12,6.745095170468619e-12,6.745105800246365e-12,5.822761695840724e-14,6.024878939002137e-16,2.558661570784204e-16,5.543849830237448e-17,1.39348354382707e-16,3.650204343955531e-20,5.279445470790798e-17,2.9353012621872796e-17,4.082499829606238e-18,1.2391426146528425e-17,6.455283278518151e-20,4.123391352211619e-19,1.6255851445967801e-19,2.756252936178337e-19,2.0443195433479311e-19,2.7357834064565237e-19,1.2159817690794781e-25,1.1005684539906915e-16
3.0212466201157685e-13,0.11224537200911576,0.9,0.0,0.0,0.0,0.0,0.09999999991878737,2.0799453195219477e-11,2.0709070947476453e-11,1.4371202437078053e-11,1.4371237684928086e-11,1.2446626448682342e-11,1.2447368580906472e-11,1.2447005957013115e-11,1.2447008037082125e-11,1.1098577745371311e-11,1.1098577745371311e-11,1.0048835241033205e-11,1.0048859867339637e-11,8.887522779096493e-14,1.3856125097603543e-15,5.886230149838421e-16,1.2752218175108373e-16,2.34611856858916e-16,1.3340894422065868e-19,1.2150631625268028e-16,7.052271025805312e-17,9.396279204763663e-18,2.841786959991453e-17,2.352882432774586e-19,6.243537171111045e-19,2.4218752475223185e-19,4.171040425699273e-19,3.09690492718744e-19,4.150561290846517e-19,2.8867101127221534e-25,1.63962636938117e-16
4.014538101570432e-13,0.11224537201211275,0.9,0.0,0.0,0.0,0.0,0.0999999998920872,2.7637674366929758e-11,2.751551266486919e-11,1.9095997189881203e-11,1.909605909605318e-11,1.6538378429707202e-11,1.6539677976146544e-11,1.6539186071338315e-11,1.6539189697093474e-11,1.4747443299956736e-11,1.4747443299956736e-11,1.335257299260589e-11,1.3352616251660627e-11,1.1952097639181798e-13,2.425462633207481e-15,1.03054957741846e-15,2.2324264991382387e-16,3.442715649032732e-16,3.0305592663770527e-19,2.1280678084243372e-16,1.2588844693785744e-16,1.645706471187843e-17,4.9629246135964694e-17,5.334622383988829e-19,8.3636837421843545e-19,3.218286623693506e-19,5.585829050720353e-19,4.1494902092019053e-19,5.565335729661096e-19,5.125692393332293e-25,2.1786842846274857e-16
5.007829583025096e-13,0.11224537201510973,0.9,0.0,0.0,0.0,0.0,0.09999999986538703,3.4475900335282105e-11,3.4321680297466244e-11,2.3820788625851373e-11,2.3820883820942964e-11,2.062999432583022e-11,2.0631988938858537e-11,2.0631363335627567e-11,2.0631368875652345e-11,1.8396308853567907e-11,1.8396308853567907e-11,1.66563084251883e-11,1.6656374953207645e-11,1.501654126190471e-13,3.721736665408327e-15,1.5815447017239135e-15,3.4257265758229276e-16,4.683757395186291e-16,5.633843972048583e-19,3.2669553808149105e-16,1.9544961473007e-16,2.5264857020104012e-17,7.598909069331421e-17,9.900069680044018e-19,1.0483831734430793e-18,4.0148654961397825e-19,7.000618679491165e-19,5.202076152932272e-19,6.980110321209249e-19,7.932928764579302e-25,2.7177421997296377e-16
6.994412545934422e-13,0.11224537202110374,0.9,0.0,0.0,0.0,0.0,0.09999999981198669,4.8152363529403014e-11,4.793337307218229e-11,3.327036371339499e-11,3.327054104758372e-11,2.881290707768803e-11,2.881661454303378e-11,2.8815711191766402e-11,2.881572140895703e-11,2.5694039958503744e-11,2.5694039958503744e-11,2.326377384782998e-11,2.326389779468428e-11,2.114513718297795e-13,6.915161748920768e-15,2.939198804189638e-15,6.365584228803705e-16,7.506332463520369e-16,1.3524391996299831e-18,6.074854306264728e-16,3.6788597574721697e-16,4.698056171489857e-17,1.4067980626996085e-16,2.369884473664072e-18,1.4724131192761159e-18,5.608560280341405e-19,9.830200265640352e-19,7.307249755998375e-19,9.809660691287921e-19,1.4881059724913779e-24,3.7958580295956e-16
8.980995508843748e-13,0.11224537202709776,0.9,0.0,0.0,0.0,0.0,0.09999999975858635,6.182884436246337e-11,6.154406014872252e-11,4.271992660378013e-11,4.272021045920453e-11,3.6995320313726866e-11,3.700124591133728e-11,3.700004861112567e-11,3.7000064817086585e-11,3.2991771059856904e-11,3.2991771059856904e-11,2.987123074273086e-11,2.9871429157414074e-11,2.727328022698507e-13,1.1049048688499948e-14,4.697098058702533e-15,1.0171390079823675e-15,1.086405965659003e-15,2.6237035401524843e-18,9.713379569996307e-16,5.925192393380882e-16,7.512063905819463e-17,2.2400405926847203e-16,4.585962589449167e-18,1.896443611802964e-18,7.203257018290695e-19,1.2659785496433705e-18,9.412426074921465e-19,1.263921306496334e-18,2.3918865427095304e-24,4.873973858931423e-16
1e-12,0.11224537203309179,0.9,0.0,0.0,0.0,0.0,0.09999999973119501,6.88441113915473e-11,6.852515404291583e-11,4.75670118405014e-11,4.756736047170378e-11,4.1192227266581966e-11,4.119950042126884e-11,4.119814562001593e-11,4.1198165429648684e-11,3.673509359076193e-11,3.673509359076193e-11,3.326047817594091e-11,3.326072187639768e-11,3.041648223499798e-13,1.3559710004721226e-14,5.764938497996619e-15,1.248286107018595e-15,1.281010151825758e-15,3.522619373210924e-18,1.1925056182443198e-15,7.294424107635893e-16,9.222579595209968e-17,2.743990818750147e-16,6.1486812407448564e-18,2.1139474539252914e-18,8.02178373712247e-19,1.411120389864032e-18,1.0492263362873976e-18,1.4090613912262801e-18,2.9423516511138637e-24,5.426986188219251e-16
1.0967578471753075e-12,0.11224537203309179,0.9,0.0,0.0,0.0,0.0,0.09999999970518601,7.550534409436796e-11,7.515367170062854e-11,5.2169476425796714e-11,5.2169892925426154e-11,4.51771990908997e-11,4.518588345547248e-11,4.518437488306941e-11,4.518439844825137e-11,4.028950215737147e-11,4.028950215737147e-11,3.647867850077747e-11,3.6478969650047244e-11,3.3400938446257164e-13,1.618856528798423e-14,6.883157439418354e-15,1.4903183426684778e-15,1.479833955810876e-15,4.531081342117392e-18,1.4241840941665293e-15,8.730739473873602e-16,1.1014397728329917e-16,3.2705477554931095e-16,7.899892248303461e-18,2.3204746892122596e-18,8.799339368289996e-19,1.548937463407875e-18,1.1517605293640856e-18,1.5468767538741668e-18,3.519560980394422e-24,5.952089687699237e-16
1.4940744397571728e-12,0.11224537204507988,0.9,0.0,0.0,0.0,0.0,0.09999999959838532,1.028584014416936e-10,1.0236961418155167e-10,7.106853604395072e-11,7.106929783671815e-11,6.153932467419612e-11,6.155517745903202e-11,6.155299351518082e-11,6.15530357656126e-11,5.488496434064375e-11,5.488496434064375e-11,4.969354603245751e-11,4.9694078598438923e-11,4.56547781667972e-13,2.953409832913311e-14,1.256209726738626e-14,2.7190648717948463e-15,2.445395552711002e-15,1.110070069380279e-17,2.602433289654295e-15,1.6054346360071209e-15,2.0127283313613657e-16,5.919978305683621e-16,1.9227869964715797e-17,3.1685386377996988e-18,1.1997883041547123e-18,2.1148564869348655e-18,1.5727972639999954e-18,2.112788305086208e-18,6.460656154253154e-24,8.108321343495168e-16
1.8913910323390383e-12,0.11224537205706805,0.9,0.0,0.0,0.0,0.0,0.09999999949158463,1.30211535546949e-10,1.2958121844978489e-10,8.996754258476828e-11,8.996875575861172e-11,7.789929060692718e-11,7.792449654561503e-11,7.792156737970368e-11,7.792163337366719e-11,6.948042650832551e-11,6.948042650832551e-11,6.290837645469375e-11,6.290922462804683e-11,5.790666432322388e-13,4.6933884293549484e-14,1.9969893381281027e-14,4.3211804579100326e-15,3.64980788670717e-15,2.2047266440591428e-17,4.14210163161728e-15,2.564864758022096e-15,3.203583272772925e-16,9.335870147368086e-16,3.796124575480124e-17,4.016604964158885e-18,1.520683208730503e-18,2.6807770964874382e-18,1.993835178990088e-18,2.6787007218188804e-18,1.0311105185705874e-23,1.0264552996984123e-15
2.686024217502769e-12,0.11224537208104458,0.9,0.0,0.0,0.0,0.0,0.09999999927798325,1.8491803399792965e-10,1.83991511787664e-10,1.2776539645753838e-10,1.2776783057590288e-10,1.1061278041098795e-10,1.1066320995628774e-10,1.1065858240271901e-10,1.1065870947902022e-10,9.867135079692405e-11,9.867135079692405e-11,8.933792598701625e-11,8.933962791476035e-11,8.240462075395938e-13,9.379670348179609e-14,3.993840099107528e-14,8.636522433328988e-15,6.7898834406811845e-15,6.288910244069477e-17,8.30544241582035e-15,5.1646519058442915e-15,6.42387665730417e-16,1.8358647342343854e-15,1.0680799149029774e-16,5.712744749351474e-18,2.1671887983074468e-18,3.812623071882335e-18,2.8359145497318113e-18,3.810528152335637e-18,2.0739688640272323e-23,1.4577016297042074e-15
