Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164)
9.598288105134212e-13,0.11224537202896005,0.9,0.0,0.0,0.0,0.0,0.09999999974199375,6.607832044214217e-11,6.577412309385661e-11,4.565635639809912e-11,4.565635639809912e-11,3.953797325873566e-11,3.954438935864447e-11,3.954331180249007e-11,3.954331180249007e-11,3.525940118766549e-11,3.525940118766549e-11,3.192448266574237e-11,3.192448266574237e-11,2.9179729767497593e-13,1.2400050610589946e-14,5.271559686038236e-15,1.1445402227837434e-15
1e-12,0.11224537203937265,0.9,0.0,0.0,0.0,0.0,0.09999999973119555,6.884386019143444e-11,6.852624890619885e-11,4.756718687293471e-11,4.756718687293471e-11,4.119247384440624e-11,4.119941902497169e-11,4.1198296370449815e-11,4.1198296370449815e-11,3.673509359128994e-11,3.673509359128994e-11,3.3260600551259863e-11,3.3260600551259863e-11,3.0418941704047607e-13,1.3421868195098805e-14,5.706183491854391e-15,1.238997073589638e-15
1.3049362193109483e-12,0.11224537203937265,0.9,0.0,0.0,0.0,0.0,0.09999999964922734,8.983684660503617e-11,8.94160518989671e-11,6.20721449763883e-11,6.20721449763883e-11,5.375094423467406e-11,5.376261407874245e-11,5.376114908619567e-11,5.376114908619567e-11,4.793695412787107e-11,4.793695412787107e-11,4.3402962318006165e-11,4.3402962318006165e-11,3.9825086344301683e-13,2.2543842626035947e-14,9.587030043364266e-15,2.0828140250355915e-15
1.6500436281084755e-12,0.11224537204978524,0.9,0.0,0.0,0.0,0.0,0.09999999955646094,1.1359537274588673e-10,1.1305492857895711e-10,7.848793353944674e-11,7.848793353944674e-11,6.796232328519119e-11,6.798083878564861e-11,6.79789863567098e-11,6.79789863567098e-11,6.061450705631428e-11,6.061450705631428e-11,5.48814419596201e-11,5.48814419596201e-11,5.046906841422871e-13,3.575348278731959e-14,1.520920839234044e-14,3.3062920650811568e-15
2.34025844570353e-12,0.11224537207061042,0.9,0.0,0.0,0.0,0.0,0.09999999937092811,1.611124249614669e-10,1.6032359069972217e-10,1.1131951061987779e-10,1.1131951061987779e-10,9.638032989540879e-11,9.641728815989101e-11,9.641466085816924e-11,9.641466085816924e-11,8.596961287791854e-11,8.596961287791854e-11,7.783840121090288e-11,7.783840121090288e-11,7.175293833751887e-13,7.130487836950892e-14,3.035152887281446e-14,6.6067356093995835e-15
3.0304732632985843e-12,0.11224537209143562,0.9,0.0,0.0,0.0,0.0,0.09999999918539532,2.0862947708888576e-10,2.075801967018328e-10,1.441510876393944e-10,1.441510876393944e-10,1.2479202546516878e-10,1.2485373748137354e-10,1.2485033530687024e-10,1.2485033530687024e-10,1.1132471865247994e-10,1.1132471865247994e-10,1.0079536041959224e-10,1.0079536041959224e-10,9.303137881973178e-13,1.1896659885560037e-13,5.066892106164212e-14,1.1043095143086973e-14
3.7206880808936385e-12,0.11224537211226085,0.9,0.0,0.0,0.0,0.0,0.0999999989998625,2.561465291281444e-10,2.5482484068927524e-10,1.769826645979973e-10,1.769826645979973e-10,1.531974449244872e-10,1.532901867500968e-10,1.5328600970281342e-10,1.5328600970281342e-10,1.3667982437999903e-10,1.3667982437999903e-10,1.2375231958568863e-10,1.2375231958568863e-10,1.1430443224030667e-12,1.7864411646600644e-13,7.612944154891294e-14,1.6612384060688797e-14
4.410902898488693e-12,0.11224537213308605,0.9,0.0,0.0,0.0,0.0,0.0999999988143297,3.03663581079243e-10,3.020576185310439e-10,2.0981424149568672e-10,2.0981424149568672e-10,1.815966239093783e-10,1.81726635966061e-10,1.8172168404599893e-10,1.8172168404599893e-10,1.6203493006047603e-10,1.6203493006047603e-10,1.4670927870919223e-10,1.4670927870919223e-10,1.3557214177367324e-12,2.5024113046235785e-13,1.0670050516887308e-13,2.3311551513815127e-14
5.791332533678801e-12,0.11224537217473646,0.9,0.0,0.0,0.0,0.0,0.09999999844326406,3.9869768471696077e-10,3.964879261807761e-10,2.7547739510832524e-10,2.7547739510832524e-10,2.383763910558866e-10,2.385995342397122e-10,2.385930325740973e-10,2.385930325740973e-10,2.1274514128030364e-10,2.1274514128030364e-10,1.926231968284212e-10,1.926231968284212e-10,1.780916869819657e-12,4.2884166636496993e-13,1.830548848308329e-13,4.0088298994844175e-14
7.17176216886891e-12,0.11224537221638686,0.9,0.0,0.0,0.0,0.0,0.09999999807219842,4.937317880020392e-10,4.908718735957419e-10,3.411405484773102e-10,3.411405484773102e-10,2.951316082840658e-10,2.954724323023278e-10,2.954643808911655e-10,2.954643808911655e-10,2.634553523119631e-10,2.634553523119631e-10,2.3853711477727925e-10,2.3853711477727925e-10,2.205903539815433e-12,6.540108664818583e-13,2.794749108842069e-13,6.134910737765309e-14
