Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689)
1.008566489663649e-09,0.11224540270363138,0.9,0.0,0.0,0.0,0.0,0.09999972889319993,6.968036943898508e-08,6.617361691611439e-08,4.780409397039548e-08,4.813868275374346e-08,3.9476090004972664e-08,4.172280890352093e-08,4.166880938561751e-08,4.142352650330346e-08,3.7049734219905574e-08,3.7049734219905574e-08,3.342626703720065e-08,3.366520727717387e-08,2.979375381561854e-10,2.019094922756225e-09,1.055021682463544e-09,1.8686970491824672e-10,1.3757356674894715e-09,6.702387278184781e-10,1.057752145608509e-09,7.054969396709934e-10
1.045536512021682e-09,0.11224540383983882,0.9,0.0,0.0,0.0,0.0,0.09999971895552058,7.224393050348499e-08,6.855838741672897e-08,4.954993534868156e-08,4.990935430722298e-08,4.0883530540264977e-08,4.32586618741538e-08,4.3200554718230796e-08,4.2937104110709776e-08,3.840782770380628e-08,3.840782770380628e-08,3.464701988021098e-08,3.490379593789803e-08,3.086747890731487e-10,2.098850619736427e-09,1.0973955895425306e-09,1.9418838533671588e-10,1.4819194132065165e-09,7.241284004681434e-10,1.1364216814365728e-09,7.577910127383733e-10
1.082506534379715e-09,0.11224540497680081,0.9,0.0,0.0,0.0,0.0,0.09999970901784222,7.480815182078109e-08,7.094077507141637e-08,5.129532062363393e-08,5.1680449742045494e-08,4.2288562679160654e-08,4.479497062197068e-08,4.47325994513586e-08,4.445033982732728e-08,3.9765921052743635e-08,3.9765921052743635e-08,3.586745383467854e-08,3.614270746062705e-08,3.19401311404327e-10,2.1785267857970853e-09,1.1396979535409597e-09,2.0149454758815505e-10,1.5920217254527838e-09,7.800863232693145e-10,1.2178959943399257e-09,8.11935402183469e-10
1.156446579095781e-09,0.11224540725298532,0.9,0.0,0.0,0.0,0.0,0.09999968914248847,7.993857461699217e-08,7.569841154262636e-08,5.4784723339950425e-08,5.5223909354694464e-08,4.5091419212315294e-08,4.786895497274018e-08,4.7797584379641036e-08,4.747578585190695e-08,4.248210734572839e-08,4.248210734572839e-08,3.8307365411037674e-08,3.862149934416593e-08,3.408222139812643e-10,2.3376406625670626e-09,1.2240875734979394e-09,2.1606939949024982e-10,1.8239605096477809e-09,8.981927726926455e-10,1.389252408734659e-09,9.257677369551354e-10
1.2229926193402406e-09,0.11224540930412402,0.9,0.0,0.0,0.0,0.0,0.09999967125467346,8.455821170166938e-08,7.997215926611017e-08,5.7923627105835245e-08,5.841446541468337e-08,4.760579663359978e-08,5.063709845179243e-08,5.055708790023312e-08,5.019751866886501e-08,4.492667454784018e-08,4.492667454784018e-08,4.0502196066070447e-08,4.085351685844852e-08,3.60064443642273e-10,2.4805715754867395e-09,1.29979278714118e-09,2.291441605060772e-10,2.0460529543813032e-09,1.011526561697243e-09,1.553049124972355e-09,1.0345263926840613e-09
1.2895386595847e-09,0.11224541135769528,0.9,0.0,0.0,0.0,0.0,0.09999965336686166,8.917998568591094e-08,8.423822397667811e-08,6.106105494840382e-08,6.160638360464e-08,5.011243718296431e-08,5.3406716797423033e-08,5.331755084742647e-08,5.291814478479594e-08,4.737124131267095e-08,4.737124131267095e-08,4.269599481656693e-08,4.3086581421880287e-08,3.7927208111190413e-10,2.623245582932443e-09,1.3752656332675197e-09,2.421786859682811e-10,2.2807580162313264e-09,1.131506638986703e-09,1.7259079294934128e-09,1.149251377244624e-09
1.3560846998291595e-09,0.11224541341369448,0.9,0.0,0.0,0.0,0.0,0.09999963547905306,9.380389570045371e-08,8.849661952033047e-08,6.419700756137137e-08,6.479965973150859e-08,5.261136496576903e-08,5.617780931591194e-08,5.607896924917547e-08,5.563766458398889e-08,4.981580764022078e-08,4.981580764022078e-08,4.488876214749194e-08,4.5320693397819616e-08,3.984451887307671e-10,2.765663111055888e-09,1.4505065260323058e-09,2.5517310135144723e-10,2.5280445174442834e-09,1.2581125526219172e-09,1.907819335979166e-09,1.269931964822367e-09
1.422630740073619e-09,0.1122454154721171,0.9,0.0,0.0,0.0,0.0,0.09999961759124765,9.842994087633736e-08,9.274735967809107e-08,6.733148563812636e-08,6.799428961531586e-08,5.5102603817570974e-08,5.895037531386593e-08,5.8841339141457794e-08,5.8356078450658686e-08,5.226037353048974e-08,5.226037353048974e-08,4.708049854358184e-08,4.755585314811808e-08,4.1758382854688713e-10,2.907824625392975e-09,1.5255160724851552e-09,2.6812753300265047e-10,2.787881362588738e-09,1.3913239136176545e-09,2.0987738770610696e-09,1.3965574489710837e-09
1.4891767803180784e-09,0.1122454175329586,0.9,0.0,0.0,0.0,0.0,0.09999959970344545,1.0305812034490317e-07,9.699045820591862e-08,7.046448987173149e-08,7.11902690890069e-08,5.7586177435939896e-08,6.172441409821752e-08,6.1604656568229e-08,6.107338676894624e-08,5.470493898347793e-08,5.470493898347793e-08,4.927120448934531e-08,4.979206103312424e-08,4.366880624954365e-10,3.0497305909379003e-09,1.6002949425292689e-09,2.8104210561383906e-10,3.060237539348683e-09,1.531120396859126e-09,2.298762104115968e-09,1.529117142489557e-09
1.5557228205625379e-09,0.11224541959621441,0.9,0.0,0.0,0.0,0.0,0.09999958181564646,1.0768843323779367e-07,1.0122592884589845e-07,7.35960209549241e-08,7.438759399834449e-08,6.006210944477137e-08,6.449992497622465e-08,6.43689175813986e-08,6.378958992291865e-08,5.71495039991854e-08,5.71495039991854e-08,5.1460880469063594e-08,5.202931741168717e-08,4.557579524491321e-10,3.191381460981998e-09,1.674843805267438e-09,2.939169420057695e-10,3.3450821181203124e-09,1.6774817407597023e-09,2.5077745871474535e-09,1.6676003773606101e-09
