Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53)
1.0786570969702467e-11,0.11224537232545305,0.9,0.0,0.0,0.0,0.0,0.09999999710052167,7.425891740439669e-10,7.378127012804694e-10,5.130868303047678e-10,5.130868303047678e-10,4.444004513949617e-10,4.444004513949617e-10,4.443883418024458e-10,4.443883418024458e-10,3.9624568890426707e-10,3.9624568890426707e-10,3.5876782363577416e-10,3.5876782363577416e-10,3.3178144967422095e-12,1.458658266755375e-12
1.3418946998181886e-11,0.11224537240487724,0.9,0.0,0.0,0.0,0.0,0.09999999639292728,9.238120956753218e-10,9.174507826380902e-10,6.383015488712095e-10,6.383015488712095e-10,5.528528110456022e-10,5.528528110456022e-10,5.528377462043266e-10,5.528377462043266e-10,4.929462656659877e-10,4.929462656659877e-10,4.463222284926765e-10,4.463222284926765e-10,4.126678379924746e-12,2.234634657306686e-12
1.6051323026661304e-11,0.11224537248430144,0.9,0.0,0.0,0.0,0.0,0.0999999956853329,1.1050350160243513e-09,1.0969349467547756e-09,7.635162665516377e-10,7.635162665516377e-10,6.613051699288392e-10,6.613051699288392e-10,6.612871498388249e-10,6.612871498388249e-10,5.896468417434604e-10,5.896468417434604e-10,5.338766327300483e-10,5.338766327300483e-10,4.934849100898597e-12,3.1652201686770175e-12
1.8683699055140722e-11,0.11224537256372562,0.9,0.0,0.0,0.0,0.0,0.09999999497773851,1.2862579350910553e-09,1.2762699026395629e-09,8.887309833460526e-10,8.887309833460526e-10,7.697575280446724e-10,7.697575280446724e-10,7.697365527059403e-10,7.697365527059403e-10,6.863474171366855e-10,6.863474171366855e-10,6.214310363478895e-10,6.214310363478895e-10,5.7423478665609605e-12,4.2456845849316934e-12
2.131607508362014e-11,0.11224537264314983,0.9,0.0,0.0,0.0,0.0,0.09999999427014415,1.4674808528754333e-09,1.4554602155331378e-09,1.013945699254454e-09,1.013945699254454e-09,8.782098853931018e-10,8.782098853931018e-10,8.781859548056732e-10,8.781859548056732e-10,7.830479918456624e-10,7.830479918456624e-10,7.089854393462001e-10,7.089854393462001e-10,6.549195236352115e-12,5.471442105943768e-12
2.658082714057898e-11,0.11224537280199821,0.9,0.0,0.0,0.0,0.0,0.09999999285495542,1.8299266845972101e-09,1.8134245282044862e-09,1.2643751284132144e-09,1.2643751284132144e-09,1.0951145977877489e-09,1.0951145977877489e-09,1.095084756702989e-09,1.095084756702989e-09,9.764491392108728e-10,9.764491392108728e-10,8.840942434842284e-10,8.840942434842284e-10,8.161015120869037e-12,8.34114127185507e-12
3.184557919753782e-11,0.11224537296084651,0.9,0.0,0.0,0.0,0.0,0.0999999914397667,2.1923725111896782e-09,2.1708617010987368e-09,1.5148045540279185e-09,1.5148045540279185e-09,1.3120193071127788e-09,1.3120193071127788e-09,1.3119835555307723e-09,1.3119835555307723e-09,1.169850283839092e-09,1.169850283839092e-09,1.059203045144133e-09,1.059203045144133e-09,9.770461045393659e-12,1.1740349045548302e-11
3.7110331254496655e-11,0.11224537311969489,0.9,0.0,0.0,0.0,0.0,0.09999999002457803,2.5548183326528363e-09,2.5278034960339756e-09,1.7652339760985649e-09,1.7652339760985649e-09,1.5289240133681912e-09,1.5289240133681912e-09,1.5288823512890207e-09,1.5288823512890207e-09,1.3632514257303199e-09,1.3632514257303199e-09,1.2343118443259135e-09,1.2343118443259135e-09,1.1377676048430783e-11,1.563716057042982e-11
4.237508331145549e-11,0.11224537327854332,0.9,0.0,0.0,0.0,0.0,0.09999998860938936,2.9172641489866793e-09,2.8842797671641907e-09,2.015663394625151e-09,2.015663394625151e-09,1.7458287165539848e-09,1.7458287165539848e-09,1.7457811439777346e-09,1.7457811439777346e-09,1.5566525648845563e-09,1.5566525648845563e-09,1.4094206410295682e-09,1.4094206410295682e-09,1.2982794577370577e-11,2.0001587245118842e-11
4.7639835368414326e-11,0.11224537343739166,0.9,0.0,0.0,0.0,0.0,0.09999998719420072,3.279709960191206e-09,3.240318581321784e-09,2.266092809607677e-09,2.266092809607677e-09,1.9627334166701582e-09,1.9627334166701582e-09,1.9626799335969113e-09,1.9626799335969113e-09,1.7500537013018015e-09,1.7500537013018015e-09,1.5845294352550973e-09,1.5845294352550973e-09,1.4585943030447868e-11,2.4805435838974477e-11
5.290458742537316e-11,0.11224537359624007,0.9,0.0,0.0,0.0,0.0,0.09999998577901209,3.6421557662664117e-09,3.5959463189163966e-09,2.5165222210461397e-09,2.5165222210461397e-09,2.1796381137167105e-09,2.1796381137167105e-09,2.179578720146551e-09,2.179578720146551e-09,1.9434548349820556e-09,1.9434548349820556e-09,1.7596382270025e-09,1.7596382270025e-09,1.6187240211137358e-11,3.0022207138878543e-11
5.8169339482332e-11,0.11224537375508846,0.9,0.0,0.0,0.0,0.0,0.09999998436382347,4.004601567212295e-09,3.951187761196509e-09,2.7669516289405395e-09,2.7669516289405395e-09,2.3965428076936414e-09,2.3965428076936414e-09,2.396477503626652e-09,2.396477503626652e-09,2.1368559659253183e-09,2.1368559659253183e-09,1.934747016271775e-09,1.934747016271775e-09,1.778679772113388e-11,3.562700829465398e-11
6.869884359624968e-11,0.11224537407278523,0.9,0.0,0.0,0.0,0.0,0.09999998153344633,4.72949315371608e-09,4.660603547375804e-09,3.2678104340971415e-09,3.2678104340971415e-09,2.830352186438632e-09,2.830352186438632e-09,2.8302750613782353e-09,2.8302750613782353e-09,2.5236582196008708e-09,2.5236582196008708e-09,2.2849645873759406e-09,2.2849645873759406e-09,2.0981107091900067e-11,4.790849924837815e-11
7.817539729877559e-11,0.11224537435871224,0.9,0.0,0.0,0.0,0.0,0.09999997898610696,5.381895564027173e-09,5.2979760135475065e-09,3.7185833466173702e-09,3.7185833466173702e-09,3.2207806168110053e-09,3.2207806168110053e-09,3.2206928528568284e-09,3.2206928528568284e-09,2.871780238548358e-09,2.871780238548358e-09,2.6001603928944887e-09,2.6001603928944887e-09,2.385102386249392e-11,6.00685266171762e-11
8.76519510013015e-11,0.11224537464463928,0.9,0.0,0.0,0.0,0.0,0.09999997643876767,6.034297957719215e-09,5.934419244818159e-09,4.169356247654812e-09,4.169356247654812e-09,3.611209037237786e-09,3.611209037237786e-09,3.6111106343900995e-09,3.6111106343900995e-09,3.219902248627995e-09,3.219902248627995e-09,2.915356190383893e-09,2.915356190383893e-09,2.671675584838457e-11,7.3161957052674e-11
9.712850470382741e-11,0.11224537493056636,0.9,0.0,0.0,0.0,0.0,0.09999997389142844,6.686700334792188e-09,6.570031652535307e-09,4.620129137209454e-09,4.620129137209454e-09,4.00163744771897e-09,4.00163744771897e-09,4.0015284059780445e-09,4.0015284059780445e-09,3.568024249839781e-09,3.568024249839781e-09,3.2305519798441504e-09,3.2305519798441504e-09,2.9578746242463895e-11,8.708993601441952e-11
9.999999999999999e-11,0.11224537521649335,0.9,0.0,0.0,0.0,0.0,0.0999999731195579,6.884385103400277e-09,6.762478461506962e-09,4.7567180545678074e-09,4.7567180545678074e-09,4.119941354474001e-09,4.119941354474001e-09,4.119829089036747e-09,4.119829089036747e-09,3.673508870490161e-09,3.673508870490161e-09,3.3260596127029604e-09,3.3260596127029604e-09,3.0445281950040746e-11,9.146135994327739e-11
1.0660505840635333e-10,0.11224537521649335,0.9,0.0,0.0,0.0,0.0,0.09999997134408925,7.339102695246075e-09,7.204901238309267e-09,5.070902015281292e-09,5.070902015281292e-09,4.392065848254548e-09,4.392065848254548e-09,4.391946167620655e-09,4.391946167620655e-09,3.916146242183716e-09,3.916146242183716e-09,3.545747761275257e-09,3.545747761275257e-09,3.243739135764842e-11,1.0176406557916297e-10
1.1608161210887924e-10,0.1122453755024204,0.9,0.0,0.0,0.0,0.0,0.09999996879675015,7.991505039080862e-09,7.839106679773024e-09,5.5216748818703164e-09,5.5216748818703164e-09,4.782494238844516e-09,4.782494238844516e-09,4.782363919317927e-09,4.782363919317927e-09,4.2642682256598015e-09,4.2642682256598015e-09,3.860943534677209e-09,3.860943534677209e-09,3.5293045516570204e-11,1.171053137912654e-10
1.2555816581140514e-10,0.1122453757883474,0.9,0.0,0.0,0.0,0.0,0.09999996624941111,8.643907366296526e-09,8.472718317329464e-09,5.9724477369765195e-09,5.9724477369765195e-09,5.172922619488869e-09,5.172922619488869e-09,5.172781661069853e-09,5.172781661069853e-09,4.612390200268037e-09,4.612390200268037e-09,4.176139300050002e-09,4.176139300050002e-09,3.8146025495366795e-11,1.3304302347169487e-10
1.3503471951393105e-10,0.11224537607427444,0.9,0.0,0.0,0.0,0.0,0.09999996370207212,9.296309676893056e-09,9.105799036618124e-09,6.423220580599892e-09,6.423220580599892e-09,5.563350990187596e-09,5.563350990187596e-09,5.563199392876427e-09,5.563199392876427e-09,4.960512166008422e-09,4.960512166008422e-09,4.491335057393632e-09,4.491335057393632e-09,4.099661449784697e-11,1.495140257770855e-10
1.4451127321645696e-10,0.1122453763602014,0.9,0.0,0.0,0.0,0.0,0.09999996115473321,9.948711970870429e-09,9.738405063113238e-09,6.873993412740427e-09,6.873993412740427e-09,5.9537793509406945e-09,5.9537793509406945e-09,5.9536171147376415e-09,5.9536171147376415e-09,5.308634122880958e-09,5.308634122880958e-09,4.806530806708095e-09,4.806530806708095e-09,4.384506573394165e-11,1.66461842023252e-10
1.5398782691898288e-10,0.11224537664612842,0.9,0.0,0.0,0.0,0.0,0.09999995860739437,1.0601114248228633e-08,1.0370586669143767e-08,7.324766233398115e-09,7.324766233398115e-09,6.34420770174816e-09,6.34420770174816e-09,6.344034826653495e-09,6.344034826653495e-09,5.656756070885644e-09,5.656756070885644e-09,5.121726547993388e-09,5.121726547993388e-09,4.66916056037501e-11,1.8383597348112128e-10
