Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113)
2.476405290360334e-12,0.11224537207471953,0.9,0.0,0.0,0.0,0.0,0.09999999933433121,1.7048680164129098e-10,1.6964004368479406e-10,1.1779459489016637e-10,1.177966707883387e-10,1.0198398106565235e-10,1.020269501441792e-10,1.0202279292870002e-10,1.0202290228939884e-10,9.097097993237364e-11,9.097097993237364e-11,8.236600120933002e-11,8.236745279802411e-11,7.594294571370389e-13,7.9936916280732e-14,3.403055917618471e-14,7.36020613153423e-15,4.5275839934443854e-15,4.94011234605794e-17,7.0720726733150445e-15,4.393983348895475e-15,5.469860766672855e-16,1.571172213870979e-15,8.4199521088331e-17
3.189610400922647e-12,0.1122453720962393,0.9,0.0,0.0,0.0,0.0,0.09999999914261849,2.1958757693753952e-10,2.1846423002021346e-10,1.5171907645334115e-10,1.5172251001892192e-10,1.3133997087028867e-10,1.314109073855771e-10,1.314050549795965e-10,1.3140522966855544e-10,1.1717063625545211e-10,1.1717063625545211e-10,1.0608715662799348e-10,1.0608955767095508e-10,9.792578530781117e-13,1.3184557079088906e-13,5.616319034434792e-14,1.2140484181238525e-14,7.564962492257273e-15,1.0403595273223796e-16,1.1697374913581106e-14,7.28548785642148e-15,9.047607706232037e-16,2.5562129148464573e-15,1.7543868310355283e-16
3.902815511484959e-12,0.11224537211775922,0.9,0.0,0.0,0.0,0.0,0.09999999895090578,2.6868859951641217e-10,2.672746971611069e-10,1.856433870233497e-10,1.8564851993492963e-10,1.6068909789197143e-10,1.6079494543241673e-10,1.6078717684088686e-10,1.607874291203931e-10,1.433702925283039e-10,1.433702925283039e-10,1.2980819249541858e-10,1.2981178200425002e-10,1.199024469752412e-12,1.965581043960735e-13,8.377879020829205e-14,1.8100351002651112e-14,1.1410126819508323e-14,1.8808947591603124e-16,1.7486767610037584e-14,1.090803577958056e-14,1.3526018214636486e-15,3.760514488017271e-15,3.1400156401173235e-16
4.616020622047272e-12,0.11224537213927939,0.9,0.0,0.0,0.0,0.0,0.09999999875919306,3.1778986938141127e-10,3.160715508690717e-10,2.1956752659788543e-10,2.1957470050024107e-10,1.9003140122487845e-10,1.9017906428509518e-10,1.9016916006748872e-10,1.9016950064301862e-10,1.6956994875092812e-10,1.6956994875092812e-10,1.535291088099925e-10,1.5353412579955499e-10,1.418729783423258e-12,2.7396853101782024e-13,1.168415600860988e-13,2.523022402462569e-14,1.6078295470666996e-14,3.0788488668957104e-16,2.4440162240316226e-14,1.526143871266495e-14,1.8905111363469167e-15,5.173373281987416e-15,5.089718713124771e-16
6.042430843171897e-12,0.11224537218232042,0.9,0.0,0.0,0.0,0.0,0.09999999837576765,4.1599315096848467e-10,4.1362480536420764e-10,2.8741529276186645e-10,2.874275734365082e-10,2.4869568045535426e-10,2.4894754440477833e-10,2.489327159676532e-10,2.48933259901007e-10,2.2196926104549311e-10,2.2196926104549311e-10,2.0097058278151543e-10,2.009791717754274e-10,1.85795824618598e-12,4.664949175799655e-13,1.9917711000086567e-13,4.296488349296216e-14,2.793732785796408e-14,6.778177076959876e-16,4.183856671692287e-14,2.6160078766948742e-14,3.2365364192014024e-15,8.587869802629144e-15,1.099431383319345e-15
7.468841064296522e-12,0.11224537222536232,0.9,0.0,0.0,0.0,0.0,0.09999999799234223,5.14197421696362e-10,5.111248268288325e-10,3.552623749478642e-10,3.55281128521452e-10,3.0733311787389256e-10,3.077163477378638e-10,3.07695733871593e-10,3.0769650744311007e-10,2.7436857313914597e-10,2.7436857313914597e-10,2.4841157854436533e-10,2.4842469559714534e-10,2.2969469939673533e-12,7.085897547716161e-13,3.028866288758278e-13,6.526893436758925e-14,4.325576171473273e-14,1.2635679390124246e-15,6.3891749410428e-14,3.9979836546798465e-14,4.942840798923731e-15,1.2722443751886867e-14,2.012357228921832e-15
8.895251285421147e-12,0.11224537226840517,0.9,0.0,0.0,0.0,0.0,0.09999999760891681,6.124026815588198e-10,6.085724793352207e-10,4.2310877316115245e-10,4.231353654335563e-10,3.659440352034313e-10,3.664854742760249e-10,3.6645822448096846e-10,3.6645924327186227e-10,3.267678850318861e-10,3.267678850318861e-10,2.9585209610222907e-10,2.958706972615023e-10,2.7356999178374173e-12,9.993872728561115e-13,4.2767549010850333e-13,9.206403303857862e-14,6.214642284780852e-14,2.1167043697668804e-15,9.059882129381607e-14,5.6719070615791885e-14,7.00942732702362e-15,1.7502946048030693e-14,3.3106478622497542e-15
1e-11,0.11224537235449371,0.9,0.0,0.0,0.0,0.0,0.09999999731195544,6.884629218159686e-10,6.840098047025347e-10,4.75655053110692e-10,4.756886547575592e-10,4.1131991341399074e-10,4.120021375968348e-10,4.119691690873492e-10,4.1197038329368246e-10,3.6735093148240065e-10,3.6735093148240065e-10,3.3259424873851027e-10,3.3261775427514387e-10,3.07535247884107e-12,1.2575598589995133e-12,5.386320590860421e-13,1.158561114393138e-13,7.929261423817714e-14,2.9919311374776933e-15,1.144808010234306e-13,7.168872375689744e-14,8.857565686016294e-15,2.1612762192266942e-14,4.611959343801985e-15
1.1748071727670398e-11,0.11224537235449371,0.9,0.0,0.0,0.0,0.0,0.09999999684206598,8.088161686443151e-10,8.033139181813122e-10,5.587995177032219e-10,5.588458835067473e-10,4.830875252997577e-10,4.840246969289851e-10,4.839816566460075e-10,4.839831798089778e-10,4.315665082146296e-10,4.315665082146296e-10,3.9073169662650236e-10,3.907641340971789e-10,3.6125128873216153e-12,1.7238433694396523e-12,7.393774012900481e-13,1.5883328212488437e-13,1.110266499276411e-13,4.8185940871634275e-15,1.5797118974761907e-13,9.894974249599495e-14,1.2223451800052266e-14,2.8771842694851205e-14,7.258313344482719e-15
1.460089216991965e-11,0.11224537244058602,0.9,0.0,0.0,0.0,0.0,0.09999999607521515,1.0052336121555766e-09,9.978555208736915e-10,6.944875264435748e-10,6.945591252274481e-10,6.001285547599869e-10,6.015652122922439e-10,6.01503075423036e-10,6.015050695429473e-10,5.363651305937238e-10,5.363651305937238e-10,4.856093843931344e-10,4.85659482248904e-10,4.488425970333458e-12,2.6334517940753517e-12,1.1320799744715196e-12,2.426918183966704e-13,1.753225096121668e-13,9.165581268145954e-15,2.439489405551216e-13,1.5283984231693235e-13,1.887862575261425e-14,4.1952853274391664e-14,1.331708602708849e-14
