Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66)
4.0674650365127225e-11,0.11224537322762632,0.9,0.0,0.0,0.0,0.0,0.09999998906647317,2.800602002051294e-09,2.7676252716908226e-09,1.9345006237191647e-09,1.935055417326923e-09,1.6654729593404726e-09,1.6759033579013643e-09,1.6755194100062405e-09,1.6755182598345597e-09,1.4941870083404219e-09,1.4941870083404219e-09,1.3526688826609995e-09,1.3530575720757403e-09,1.2456713375541477e-11,1.8535544855857427e-11,8.126816853625094e-12,1.7110196512257925e-12,1.5710199680973766e-12,1.8425344115242436e-13,1.8908021175245697e-12,1.183724837251741e-12,1.464849928703489e-13,2.079528260385177e-13,2.0304168969321083e-13,8.681033389552466e-17
4.5897512610663234e-11,0.1122453733853216,0.9,0.0,0.0,0.0,0.0,0.09999998766254468,3.160273886316159e-09,3.1205437158582873e-09,2.182861497523025e-09,2.1835677327998825e-09,1.878007296839843e-09,1.891118150989265e-09,1.890638498279194e-09,1.890634432758424e-09,1.6860493196863396e-09,1.6860493196863396e-09,1.5263312880793966e-09,1.5268261976623467e-09,1.4045707496810136e-11,2.315866547975081e-11,1.0191689384900897e-11,2.138422688549175e-12,2.0421771981670874e-12,2.610262071456514e-13,2.407066975844472e-12,1.5064927350320072e-12,1.8651940803198812e-13,2.457693482934798e-13,2.7465825598942863e-13,9.796172654378692e-17
5.112037485619924e-11,0.11224537354303159,0.9,0.0,0.0,0.0,0.0,0.0999999862586162,3.5199590286606154e-09,3.472998375295053e-09,2.4312132038877205e-09,2.4320890934290395e-09,2.0902789056614363e-09,2.1063372740375935e-09,2.1057515938172143e-09,2.1057437465830804e-09,1.8779116283386477e-09,1.8779116283386477e-09,1.6999872840092463e-09,1.7006012282423822e-09,1.563261315036443e-11,2.819596312916549e-11,1.2453901128777235e-11,2.6043120972051436e-12,2.5818993347621143e-12,3.5565040193029304e-13,2.9854661247680013e-12,1.8679386423257453e-12,2.313847930760498e-13,2.8414579946019594e-13,3.5831029050607555e-13,1.0911352990582e-16
5.634323710173525e-11,0.11224537370075645,0.9,0.0,0.0,0.0,0.0,0.09999998485468775,3.879657428661681e-09,3.825014168668755e-09,2.6795557431515555e-09,2.680619488220476e-09,2.3022980226558727e-09,2.3215607266109006e-09,2.320858711635013e-09,2.320846201495005e-09,2.069773934297345e-09,2.069773934297345e-09,1.8736368706870526e-09,1.8743826636371307e-09,1.7217542549362e-11,3.362247326365048e-11,1.49040152419639e-11,3.10640214075594e-12,3.1918075770600236e-12,4.696227485298083e-13,3.625970791809625e-12,2.268012917988473e-12,2.8108124514302987e-13,3.228765270399687e-13,4.541719105417432e-13,1.2026574396844728e-16
6.156609934727126e-11,0.1122453738584963,0.9,0.0,0.0,0.0,0.0,0.0999999834507593,4.239369085896518e-09,4.176614478445118e-09,2.9278891156527375e-09,2.929158906616175e-09,2.5140743798313605e-09,2.5367885082737606e-09,2.5359598526028495e-09,2.535941797680595e-09,2.261636237562434e-09,2.261636237562434e-09,2.0472800483492494e-09,2.0481705036686653e-09,1.880060098913989e-11,3.941477081236178e-11,1.753305284831821e-11,3.642544802728743e-12,3.873350320756416e-12,6.043486893647573e-13,4.32855356036583e-12,2.7066686522042367e-12,3.356088614497833e-13,3.6185519520430467e-13,5.623329791874238e-13,1.3141836871863067e-16
6.861374829195825e-11,0.112245374071372,0.9,0.0,0.0,0.0,0.0,0.09999998155632019,4.724779405494975e-09,4.650438475780151e-09,3.262971769861674e-09,3.2645484112212226e-09,2.7994735902957333e-09,2.8272203850328205e-09,2.826204498812913e-09,2.8261775725822643e-09,2.520532236205173e-09,2.520532236205173e-09,2.2815812884323935e-09,2.2826872592320673e-09,2.093396355028389e-11,4.777194633267916e-11,2.134920195856895e-11,4.416432584426426e-12,4.908900872329076e-12,8.213645173089465e-13,5.37496244939913e-12,3.3596616926492175e-12,4.1684568276662643e-13,4.1473291471478347e-13,7.27874662370913e-13,1.4646819776660555e-16
7.566139723664523e-11,0.11224537428427564,0.9,0.0,0.0,0.0,0.0,0.0999999796618811,5.210213862563774e-09,5.123595887463138e-09,3.5980377343247266e-09,3.599954304114879e-09,3.0844690163446533e-09,3.1176601425014826e-09,3.116438237711144e-09,3.1164008596496545e-09,2.779428229943284e-09,2.779428229943284e-09,2.515870859745772e-09,2.517215675841873e-09,2.3064324425533244e-11,5.670505797881105e-11,2.545581263669741e-11,5.244042622333597e-12,6.0803081843235745e-12,1.0815807964183093e-12,6.534297201125256e-12,4.08272258896771e-12,5.068796887728842e-13,4.678326695693283e-13,9.160047989375567e-13,1.6151877455374477e-16
8.270904618133222e-11,0.11224537449720746,0.9,0.0,0.0,0.0,0.0,0.09999997776744204,5.695672456063973e-09,5.596132794037359e-09,3.933087009872843e-09,3.935376562691518e-09,3.3690807108506347e-09,3.408107779610095e-09,3.406661050838062e-09,3.406611659340793e-09,3.038324218776768e-09,3.038324218776768e-09,2.7501487628702898e-09,2.7517557530594312e-09,2.5191891123584815e-11,6.616794470866454e-11,2.9834333426240576e-11,6.1211210583874546e-12,7.390319752126137e-12,1.3877725743227735e-12,7.80650058810795e-12,4.875756302339662e-12,6.057111181653287e-13,5.210739002492892e-13,1.1267908754637038e-12,1.7657009904819407e-16
8.97566951260192e-11,0.11224537471016785,0.9,0.0,0.0,0.0,0.0,0.09999997587300301,6.1811551849565955e-09,6.068091697183959e-09,4.268119597336982e-09,4.270815165432732e-09,3.6533274698500867e-09,3.6985632952890773e-09,3.696872918835856e-09,3.6968099721137375e-09,3.297220202705624e-09,3.297220202705624e-09,2.9844149983868526e-09,2.9863074904451398e-09,2.731685503699205e-11,7.611803195305446e-11,3.446735914885659e-11,7.043737778872523e-12,8.841458141702319e-12,1.7425006250737631e-12,9.191518609992896e-12,5.7386741583685675e-12,7.133402095617568e-13,5.743961077261282e-13,1.3602833582599886e-12,1.9162217121766844e-16
9.680434407070619e-11,0.11224537492315692,0.9,0.0,0.0,0.0,0.0,0.09999997397856403,6.66666204820277e-09,6.539511639525259e-09,4.603135497548017e-09,4.606270091884608e-09,3.93722685894666e-09,3.989026688468923e-09,3.987073820981751e-09,3.986995798426502e-09,3.556116181729852e-09,3.556116181729852e-09,3.21866956687631e-09,3.2208708875585817e-09,2.943939198172576e-11,8.651621155761758e-11,3.9338607955993036e-11,8.008276092395942e-12,1.0436025459223653e-11,2.148118338870926e-12,1.0689300399626474e-11,6.671393633987668e-12,8.297672015901762e-13,6.277614552847756e-13,1.6165134863650603e-12,2.0667499102918677e-16
