Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251)
1.6060000483276256e-12,0.11224537204845686,0.9,0.0,0.0,0.0,0.0,0.09999999956830007,1.1056387889754619e-10,1.100357211823976e-10,7.639246476929669e-11,7.639334385997726e-11,6.614823592972739e-11,6.616647685570562e-11,6.61640887682155e-11,6.616413705695765e-11,5.899656203551413e-11,5.899656203551413e-11,5.341621870971352e-11,5.341683338988854e-11,4.9106403814294e-13,3.397449368582099e-14,1.4452011632434636e-14,3.1279101166416428e-15,1.8632808808464833e-15,1.3535884005548366e-17,2.994831514003573e-15,1.8497449968409346e-15,2.316223354285319e-16,7.030468901167361e-16
2.3846673785077833e-12,0.11224537207195154,0.9,0.0,0.0,0.0,0.0,0.09999999935899082,1.641710990211921e-10,1.6335903212862486e-10,1.1343095698968014e-10,1.1343287997247121e-10,9.820755293331738e-11,9.824736531499225e-11,9.824341269877963e-11,9.824351383745631e-11,8.76009791724019e-11,8.76009791724019e-11,7.931479665054055e-11,7.931614130597572e-11,7.311495240496096e-13,7.407205215554288e-14,3.153159303246011e-14,6.820143207961884e-15,4.112875442492073e-15,4.4354095835973304e-17,6.551124694135672e-15,4.068521346656099e-15,5.066914524519094e-16,1.5332782569960418e-15
3.1633347086879405e-12,0.11224537209544644,0.9,0.0,0.0,0.0,0.0,0.09999999914968156,2.177786139930806e-10,2.166658468829622e-10,1.5046924532565578e-10,1.504726196523757e-10,1.3025863609436927e-10,1.30328350123876e-10,1.3032256800517286e-10,1.3032273808350452e-10,1.1620539624940202e-10,1.1620539624940202e-10,1.0521323204395495e-10,1.0521559166108854e-10,9.711607254603091e-13,1.2957469900293927e-13,5.519547290179417e-14,1.1931368465746071e-14,7.261230659147109e-15,1.0201208697949189e-16,1.149556160416857e-14,7.159218572167616e-15,8.89150667697128e-16,2.6829282810685408e-15
3.942002038868098e-12,0.11224537211894157,0.9,0.0,0.0,0.0,0.0,0.09999999894037231,2.713864237594368e-10,2.699563024861511e-10,1.8750732981455304e-10,1.8751256281392913e-10,1.6230153641251865e-10,1.6240943126384663e-10,1.6240155717885094e-10,1.6240180982281965e-10,1.448098132665251e-10,1.448098132665251e-10,1.3111152491605577e-10,1.311151844291875e-10,1.2110982595732908e-12,2.0034532470000811e-13,8.539714446491713e-14,1.8449186584956894e-14,1.1315928417876942e-14,1.9450208974600735e-16,1.7827756379796232e-14,1.1121426328130934e-14,1.3789811877267582e-15,4.149393521368969e-15
4.720669369048255e-12,0.112245372142437,0.9,0.0,0.0,0.0,0.0,0.09999999873106306,3.2499452830140126e-10,3.2323053744445254e-10,2.2454521046956257e-10,2.245527093941136e-10,1.9433630525771534e-10,1.944906087277716e-10,1.9448038275581055e-10,1.9448072906505275e-10,1.7341423022377471e-10,1.7341423022377471e-10,1.5700967527606533e-10,1.570149196011084e-10,1.450962750080702e-12,2.862452184162221e-13,1.2208964375268098e-13,2.6361054087421825e-14,1.6284855628004957e-14,3.300246281346646e-16,2.5547484008925804e-14,1.595483099987029e-14,1.976176962965543e-15,5.930041651078777e-15
6.278004029408569e-12,0.11224537218942862,0.9,0.0,0.0,0.0,0.0,0.09999999831244458,4.3221162169698055e-10,4.297308494695689e-10,2.986203602889657e-10,2.986336126161656e-10,2.5838163555911974e-10,2.586532526189304e-10,2.5863755238275305e-10,2.5863811006573165e-10,2.306230639586556e-10,2.306230639586556e-10,2.0880554846753397e-10,2.0881481714894567e-10,1.9304748700644596e-12,5.029278192435821e-13,2.14775932849825e-13,4.6321261670054835e-14,2.899444152529187e-14,7.601998818516466e-16,4.5148966862818646e-14,2.8234241643440222e-14,3.4926617909866906e-15,1.042429802708659e-14
7.835338689768884e-12,0.11224537223642127,0.9,0.0,0.0,0.0,0.0,0.09999999789382609,5.394298941453739e-10,5.361678667928632e-10,3.726946948088824e-10,3.7271532889899816e-10,3.2239502965738187e-10,3.228162817783191e-10,3.2279409681365307e-10,3.2279488110251384e-10,2.8783189745404945e-10,2.8783189745404945e-10,2.606008516358513e-10,2.6061528428771577e-10,2.409701966130326e-12,7.785366373196123e-13,3.328857516787089e-13,7.171376183130104e-14,4.545243357426498e-14,1.4571164905628045e-15,7.029877313605755e-14,4.3995317083702174e-14,5.438599179056061e-15,1.6145068973201465e-14
9.392673350129198e-12,0.11224537228341498,0.9,0.0,0.0,0.0,0.0,0.0999999974752076,6.466493456244924e-10,6.425427109688589e-10,4.4676821404584945e-10,4.4679785781551803e-10,3.863769055017654e-10,3.8697969619053167e-10,3.86950036704688e-10,3.8695104218593496e-10,3.450407307099583e-10,3.450407307099583e-10,3.123955847925783e-10,3.124163210066565e-10,2.8886490887847138e-12,1.111947968769847e-12,4.760363802374595e-13,1.0243686147026555e-13,6.572355183712322e-14,2.487665391875471e-15,1.0099568338211257e-13,6.323588644524775e-14,7.813988001811125e-15,2.3070978802456276e-14
1e-11,0.11224537237740556,0.9,0.0,0.0,0.0,0.0,0.0999999973119555,6.884629195311319e-10,6.840099621075918e-10,4.756550546906645e-10,4.756886531693332e-10,4.1131998815100994e-10,4.1200213684999577e-10,4.119692983812485e-10,4.1197038447567966e-10,3.673509314828649e-10,3.673509314828649e-10,3.325942498431608e-10,3.326177531728867e-10,3.0753531876334976e-12,1.2574108500851211e-12,5.385710298230479e-13,1.1584243633516282e-13,7.467539944575425e-14,2.993487833346906e-15,1.1447001627774774e-13,7.168191161240734e-14,8.856733674232448e-15,2.6094238914341948e-14
1.2507342670849827e-11,0.11224537237740556,0.9,0.0,0.0,0.0,0.0,0.09999999663797063,8.610917856614953e-10,8.551100683627416e-10,5.949128066851215e-10,5.949653519819788e-10,5.142476754128796e-10,5.153076807371765e-10,5.152601803035675e-10,5.152615344961628e-10,4.594583965033148e-10,4.594583965033148e-10,4.1598334108117793e-10,4.16020103179756e-10,3.845722275500319e-12,1.947981420955444e-12,8.36018614830509e-13,1.794946859172608e-13,1.1794744787998755e-13,5.799868691763369e-15,1.7902656054461486e-13,1.1214757918822419e-13,1.385314199978216e-14,4.045811712669334e-14
